id,objects_num,total_size bytes,average_size bytes,Property
2046,2,9873264,4936632,
2049,2,4632994,2316497,
2075,36,722124385,20059010,
2118,24,309803596,12908483,
2198,24,1602083810,66753492,
2298,2,1037294269,518647134,
2310,6,1569246080,261541013,
2318,2,131178494,65589247,
2320,4,244047688,61011922,
2324,2,423924863,211962431,
2408,4,228249672,57062418,
2604,71,893626744,12586292,
2639,20,337821308,16891065,
2652,10,164393568,16439356,
2653,2,22122,11061,
2654,2,59632769,29816384,
2655,6,257450010,42908335,
2656,4,11715980,2928995,
2657,2,19272,9636,
2659,7,1397390043,199627149,
