id,objects_num,total_size bytes,average_size bytes,Title
2059,1,11106,11106,
2075,8,174082532,21760316,
2118,2,165611194,82805597,
2129,2,14955635,7477817,
2150,4,44315775,11078943,
2171,6,976319226,162719871,
2198,6,572981635,95496939,
2217,6,1052621711,175436951,
2221,6,978112392,163018732,
2298,4,2325628774,581407193,
2310,6,1546518756,257753126,
2318,2,232122327,116061163,
2320,2,3492176499,1746088249,
2324,2,426116097,213058048,
2408,2,161745542,80872771,
2604,4,88737948,22184487,
2639,6,85096242,14182707,
2652,14,148598026,10614144,
2662,6,18230870,3038478,
2663,4,20024812,5006203,
2664,2,292260,146130,
2665,4,71360056,17840014,
