id,dataObjectsSize,dataObjectsSizeLimit,dataObjectsCount,bags,Utilization,"dataObjectsSize, GB",Title
0,264524788,2000000000000,40,1,0%,0,
1,949417288447,2000000000000,15490,663,47%,883,
2,949442007466,1400000000000,15502,667,68%,883,
3,949442007466,1400000000000,15502,667,68%,883,
4,0,2000000000000,0,0,0%,0,
6,949442007466,2000000000000,15502,667,47%,883,
8,949442007466,1500000000000,15502,667,63%,883,
9,2580456339,1000000000000,12,1,0%,2,
10,13226270,1500000000000,2,1,0%,0,
11,13226270,1500000000000,2,1,0%,0,
12,0,1500000000000,0,0,0%,0,
13,13226270,1500000000000,2,1,0%,0,
14,949944604094,1500000000000,15578,674,63%,884,
15,0,1500000000000,0,0,0%,0,
