id,objects_num,total_size bytes,average_size bytes,Title
2075,6,26219023,4369837,
2116,2,8203613,4101806,
2118,2,600669897,300334948,
2150,2,6504254,3252127,
2171,6,192371874,32061979,
2213,3,93999243,31333081,
2298,2,1174012061,587006030,
2310,2,638957832,319478916,
2318,4,504267671,126066917,
2324,2,2115175757,1057587878,
2639,8,191681624,23960203,
2640,2,726138,363069,
2643,2,28672308,14336154,
2652,14,44701860,3192990,
2665,4,164947613,41236903,
2667,4,517190400,129297600,
2669,6,39678810,6613135,
2670,6,17991868,2998644,
2672,4,6675561,1668890,
