id,dataObjectsSize,dataObjectsSizeLimit,dataObjectsCount,bags,Utilization,"dataObjectsSize, GB",Title
0,264524788,2000000000000,40,1,0.01%,0.2,
1,954027680903,2000000000000,15542,663,47.7%,887.6,
2,954101644479,1400000000000,15568,680,68.15%,887.7,
3,954101644479,1400000000000,15568,680,68.15%,887.7,
4,0,2000000000000,0,0,0%,0,
6,954101644479,2000000000000,15568,680,47.71%,887.7,
8,954101644479,1500000000000,15568,680,63.61%,887.7,
9,2580456339,1000000000000,12,1,0.26%,2.4,
10,13226270,1500000000000,2,1,0%,0,
11,13226270,1500000000000,2,1,0%,0,
12,0,1500000000000,0,0,0%,0,
13,13226270,1500000000000,2,1,0%,0,
14,954604241107,1500000000000,15644,687,63.64%,888.2,
15,0,1500000000000,0,0,0%,0,
