id,dataObjectsSize,dataObjectsSizeLimit,dataObjectsCount,bags,Utilization,"dataObjectsSize, GB"
13,13226270,1500000000000,2,1,8.81751e-06,0.0123059
17,1212567938,1500000000000,19,5,0.000808379,1.12819
9,2580456339,1000000000000,12,1,0.00258046,2.40089
15,0,1500000000000,0,0,0,0
16,1207522722,1500000000000,10,2,0.000805015,1.1235
10,13226270,1500000000000,2,1,8.81751e-06,0.0123059
11,13226270,1500000000000,2,1,8.81751e-06,0.0123059
4,0,2000000000000,0,0,0,0
12,0,1500000000000,0,0,0,0
6,958185023157,2000000000000,15684,690,0.479093,891.509
8,959392320545,1500000000000,15689,690,0.639595,892.632
14,958682590263,1500000000000,15753,696,0.639122,891.972
2,959392475999,1400000000000,15693,692,0.68528,892.632
3,959392475999,1400000000000,15693,692,0.68528,892.632
1,957443207864,2000000000000,15614,663,0.478722,890.819
0,264524788,2000000000000,40,1,0.000132262,0.246118
