workerId,worker_total
storageWorkingGroup-0,259560
storageWorkingGroup-9,692160
storageWorkingGroup-7,144200
storageWorkingGroup-1,115360
storageWorkingGroup-18,829590
storageWorkingGroup-11,692160
storageWorkingGroup-3,692160
storageWorkingGroup-14,692160
storageWorkingGroup-13,692160
storageWorkingGroup-16,2049222
storageWorkingGroup-10,692160
storageWorkingGroup-2,692160
storageWorkingGroup-4,692160
storageWorkingGroup-8,692160
storageWorkingGroup-5,692160
storageWorkingGroup-15,692160
storageWorkingGroup-17,10912
