id,createdAt,size,storageBagId,Property
15896,"September 2, 2022 7:09 AM (GMT+1)",14174,2604,
15903,"September 3, 2022 1:02 AM (GMT+1)",94461931,2639,
15899,"September 2, 2022 10:31 PM (GMT+1)",11274,2699,
15909,"September 3, 2022 2:18 PM (GMT+1)",104367221,2604,
15917,"September 4, 2022 3:55 AM (GMT+1)",15932947,2604,
15930,"September 4, 2022 12:33 PM (GMT+1)",11132,2604,
15931,"September 4, 2022 12:39 PM (GMT+1)",2873979972,2604,
15924,"September 4, 2022 12:14 PM (GMT+1)",11102,2092,
15925,"September 4, 2022 12:23 PM (GMT+1)",2873979972,2092,
15926,"September 4, 2022 12:23 PM (GMT+1)",11132,2092,
15932,"September 4, 2022 12:39 PM (GMT+1)",11132,2604,
15928,"September 4, 2022 12:26 PM (GMT+1)",11132,2604,
15933,"September 4, 2022 12:42 PM (GMT+1)",2873979972,2604,
15936,"September 4, 2022 12:48 PM (GMT+1)",11122,2092,
15939,"September 4, 2022 5:14 PM (GMT+1)",509034978,2604,
15954,"September 4, 2022 6:28 PM (GMT+1)",51104,2652,
15976,"September 4, 2022 9:55 PM (GMT+1)",11592,2701,
15960,"September 4, 2022 7:49 PM (GMT+1)",21226,2075,
15961,"September 4, 2022 7:52 PM (GMT+1)",6972573,2075,
15965,"September 4, 2022 7:59 PM (GMT+1)",935745,2075,
15969,"September 4, 2022 8:04 PM (GMT+1)",1481798,2075,
15970,"September 4, 2022 8:04 PM (GMT+1)",33120,2075,
15981,"September 5, 2022 10:19 AM (GMT+1)",509034978,2604,
15980,"September 5, 2022 6:07 AM (GMT+1)",16544,2604,
15983,"September 5, 2022 12:36 PM (GMT+1)",14046,2604,
15984,"September 5, 2022 12:37 PM (GMT+1)",1057512,2701,
15987,"September 5, 2022 4:53 PM (GMT+1)",26044,2298,
15989,"September 5, 2022 7:41 PM (GMT+1)",29572,2703,
15988,"September 5, 2022 7:41 PM (GMT+1)",3840,2703,
15991,"September 5, 2022 7:48 PM (GMT+1)",24420,2703,
15994,"September 6, 2022 10:15 AM (GMT+1)",10432,2639,
15995,"September 6, 2022 10:18 AM (GMT+1)",35818572,2639,
15996,"September 6, 2022 10:18 AM (GMT+1)",10350,2639,
15997,"September 6, 2022 10:22 AM (GMT+1)",35818572,2639,
15998,"September 6, 2022 10:22 AM (GMT+1)",11008,2639,
16014,"September 6, 2022 12:29 PM (GMT+1)",14882,2650,
16006,"September 6, 2022 12:23 PM (GMT+1)",30470,2351,
16007,"September 6, 2022 12:25 PM (GMT+1)",7283229,2216,
16019,"September 6, 2022 1:42 PM (GMT+1)",509034978,2604,
16010,"September 6, 2022 12:25 PM (GMT+1)",34516,2239,
16034,"September 6, 2022 6:09 PM (GMT+1)",17760,2604,
16028,"September 6, 2022 2:39 PM (GMT+1)",10548,2639,
16046,"September 7, 2022 11:28 AM (GMT+1)",56864,2213,
16052,"September 7, 2022 1:02 PM (GMT+1)",7808,2351,
16074,"September 7, 2022 7:19 PM (GMT+1)",17414,2604,
16063,"September 7, 2022 6:23 PM (GMT+1)",6955284,2213,
16069,"September 7, 2022 7:04 PM (GMT+1)",56425281,2604,
16081,"September 7, 2022 9:03 PM (GMT+1)",10178,2705,
16086,"September 7, 2022 10:45 PM (GMT+1)",1057149,2705,
16087,"September 7, 2022 10:45 PM (GMT+1)",27742,2705,
16088,"September 7, 2022 10:53 PM (GMT+1)",1057149,2705,
16089,"September 7, 2022 10:53 PM (GMT+1)",15642,2705,
16090,"September 7, 2022 10:57 PM (GMT+1)",5253880,2705,
16091,"September 7, 2022 10:57 PM (GMT+1)",58382,2705,
16092,"September 7, 2022 11:04 PM (GMT+1)",1057149,2705,
16093,"September 7, 2022 11:04 PM (GMT+1)",35340,2705,
16094,"September 7, 2022 11:07 PM (GMT+1)",21069678,2705,
16095,"September 7, 2022 11:07 PM (GMT+1)",48118,2705,
16097,"September 8, 2022 9:50 AM (GMT+1)",17286,2604,
16111,"September 8, 2022 12:08 PM (GMT+1)",10182,2706,
16112,"September 8, 2022 12:12 PM (GMT+1)",31551484,2706,
16113,"September 8, 2022 12:12 PM (GMT+1)",51438,2706,
16117,"September 8, 2022 12:39 PM (GMT+1)",51500,2706,
16120,"September 8, 2022 12:55 PM (GMT+1)",31551484,2706,
16126,"September 8, 2022 1:07 PM (GMT+1)",2122906,2327,
16140,"September 8, 2022 2:08 PM (GMT+1)",1057551,2706,
16141,"September 8, 2022 2:08 PM (GMT+1)",62922,2706,
16142,"September 8, 2022 4:53 PM (GMT+1)",1057551,2706,
16143,"September 8, 2022 4:53 PM (GMT+1)",49466,2706,
16152,"September 8, 2022 10:46 PM (GMT+1)",2100396,2706,
16153,"September 8, 2022 10:46 PM (GMT+1)",58534,2706,
