"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"196,2",2320,4,"49,0"
"788,7",2192,8,"98,6"
"0,1",2015,2,"0,0"
"15296,2",2289,36,"424,9"
"3823,6",2102,50,"76,5"
"43241,1",2045,933,"46,3"
"0,1",2003,2,"0,1"
"9488,3",2136,222,"42,7"
"9416,4",2101,170,"55,4"
"139,0",2224,22,"6,3"
"3039,5",2310,16,"190,0"
"3058,9",2083,48,"63,7"
"3855,3",2046,52,"74,1"
"154,6",2027,15,"10,3"
"85,2",2174,4,"21,3"
"1499,2",2146,14,"107,1"
"69,5",2175,11,"6,3"
"498,6",2135,8,"62,3"
"73,4",2150,11,"6,7"
"6971,6",2138,13,"536,3"
"831,8",2203,124,"6,7"
"1749,2",2250,20,"87,5"
"17516,9",2126,341,"51,4"
"0,0",2293,2,"0,0"
"24342,4",2072,304,"80,1"
"0,7",2292,3,"0,2"
"22,9",2327,4,"5,7"
"119,0",2333,18,"6,6"
"780,3",2196,8,"97,5"
"24788,3",2148,60,"413,1"
"2067,5",2191,42,"49,2"
"533,0",2042,112,"4,8"
"79,4",2265,12,"6,6"
"0,1",2307,2,"0,0"
"1277,3",2073,12,"106,4"
"3389,4",2194,11,"308,1"
"216,5",2278,2,"108,3"
"1,2",2078,6,"0,2"
"3466,1",2125,86,"40,3"
"0,1",2232,3,"0,0"
"0,1",2180,2,"0,1"
"0,4",2331,2,"0,2"
"1590,2",2075,126,"12,6"
"0,1",2218,2,"0,1"
"989,0",2121,15,"65,9"
"1723,5",2051,54,"31,9"
"0,1",2285,2,"0,0"
"26,5",2337,4,"6,6"
"594,4",2033,9,"66,0"
"0,0",2201,0,#DIV/0!
"2788,3",2287,10,"278,8"
"0,1",2188,2,"0,0"
"9654,5",2137,106,"91,1"
"0,1",2272,2,"0,0"
"229,3",2166,4,"57,3"
"4014,0",2059,32,"125,4"
"5404,2",2029,26,"207,9"
"9,2",2028,4,"2,3"
"6535,8",2118,42,"155,6"
"1423,7",2054,16,"89,0"
"0,1",2011,2,"0,0"
"242,7",2273,8,"30,3"
"0,0",2326,0,#DIV/0!
"40,1",2308,8,"5,0"
"0,1",2006,2,"0,0"
"0,2",2012,2,"0,1"
"0,0",2179,0,#DIV/0!
"0,0",2288,0,#DIV/0!
"1647,4",2234,6,"274,6"
"15894,8",2158,274,"58,0"
"64,5",2149,4,"16,1"
"0,0",2238,1,"0,0"
"71,8",2313,6,"12,0"
"52,1",2155,5,"10,4"
"0,2",2018,2,"0,1"
"19,5",2300,4,"4,9"
"53,6",2223,10,"5,4"
"1213,4",2274,42,"28,9"
"3031,5",2173,6,"505,2"
"1480,1",2091,48,"30,8"
"135,3",2266,2,"67,6"
"0,1",2340,2,"0,0"
"0,1",2007,2,"0,0"
"66,8",2212,6,"11,1"
"6912,9",2181,80,"86,4"
"400,8",2172,23,"17,4"
"3658,5",2103,54,"67,8"
"1973,5",2055,6,"328,9"
"0,0",2178,0,#DIV/0!
"297,6",2283,4,"74,4"
"0,0",2235,0,#DIV/0!
"790,7",2264,20,"39,5"
"1624,2",2195,4,"406,1"
"104,9",2105,10,"10,5"
"5,6",2239,2,"2,8"
"12,4",2066,2,"6,2"
"6500,8",2082,99,"65,7"
"4515,0",2109,48,"94,1"
"8327,4",2077,87,"95,7"
"1721,5",2197,6,"286,9"
"6507,4",2142,124,"52,5"
"427,3",2220,22,"19,4"
"1010,2",2131,8,"126,3"
"459,1",2208,22,"20,9"
"169,4",2227,28,"6,1"
"187,7",2318,12,"15,6"
"9777,3",2087,244,"40,1"
"0,0",2247,0,#DIV/0!
"246,5",2129,11,"22,4"
"2058,6",2031,66,"31,2"
"8789,3",2035,30,"293,0"
"503,8",2259,9,"56,0"
"2817,0",2115,10,"281,7"
"2259,1",2176,36,"62,8"
"5389,6",2079,180,"29,9"
"2879,6",2162,62,"46,4"
"166,8",2260,4,"41,7"
"9347,0",2152,168,"55,6"
"289,9",2301,2,"145,0"
"3328,2",2037,40,"83,2"
"15402,4",2047,234,"65,8"
"5268,8",2060,55,"95,8"
