"size, MB",createdAt,id,storageBag/id,videoMedia/mediaId
"7,19",28.04.2022,13477,2469,13477
"11,59",28.04.2022,13593,2489,13593
"0,02",28.04.2022,13598,2489,0
"11,59",28.04.2022,13595,2489,13595
"271,92",29.04.2022,14021,2001,14021
"8,31",28.04.2022,13394,2452,13394
"0,01",28.04.2022,13566,2484,0
"0,97",29.04.2022,14013,2565,14013
"0,02",28.04.2022,13646,2497,0
"14,02",29.04.2022,13951,2553,13951
"0,02",29.04.2022,13948,2553,0
"0,02",28.04.2022,13710,2507,0
"0,02",28.04.2022,13490,2471,0
"0,01",28.04.2022,13620,2492,0
"0,01",28.04.2022,13539,2481,0
"0,04",29.04.2022,13942,2552,0
"0,31",28.04.2022,13557,2483,13557
"0,02",28.04.2022,13650,2498,0
"0,01",29.04.2022,13973,2557,0
"0,02",25.04.2022,13114,2386,0
"0,01",28.04.2022,13741,2512,0
"34,90",28.04.2022,13613,2492,0
"0,03",24.04.2022,13044,2341,0
"0,97",29.04.2022,14015,2565,14015
"6,48",28.04.2022,13723,2509,13723
"0,02",28.04.2022,13389,2451,0
"0,03",27.04.2022,13359,2310,0
"0,03",28.04.2022,13400,2453,0
"0,00",24.04.2022,12988,2355,0
"0,02",28.04.2022,13488,2471,0
"0,02",28.04.2022,13456,2465,0
"0,01",29.04.2022,13871,2537,0
"6,48",28.04.2022,13729,2509,13729
"0,01",29.04.2022,14022,2001,0
"30,07",28.04.2022,13797,2343,13797
"0,03",28.04.2022,13590,2489,0
"0,01",26.04.2022,13234,2415,0
"0,01",28.04.2022,13722,2509,0
"2,04",28.04.2022,13523,2478,13523
"0,01",27.04.2022,13347,2442,0
"0,01",29.04.2022,13888,2540,0
"2,87",28.04.2022,13767,2517,13767
"0,02",28.04.2022,13438,2461,0
"8,35",24.04.2022,12974,2352,0
"0,03",27.04.2022,13357,2310,0
"0,01",29.04.2022,14018,2565,0
"8,35",24.04.2022,12976,2352,0
"27,78",28.04.2022,13423,2458,13423
"0,02",28.04.2022,13379,2448,0
"0,03",24.04.2022,13042,2343,0
"0,01",28.04.2022,13684,2503,0
"0,01",28.04.2022,13439,2462,0
"3,81",28.04.2022,13773,2518,13773
"2,21",28.04.2022,13543,2481,13543
"2,98",28.04.2022,13471,2468,13471
"14,02",29.04.2022,13953,2553,13953
"1,52",28.04.2022,13801,2523,13801
