"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"14,5",2325,4,"3,6"
"0,0",2358,2,"0,0"
"0,1",2016,2,"0,0"
"52,9",2193,9,"5,9"
"8,9",2548,8,"1,1"
"1213,4",2274,42,"28,9"
"188,0",2309,4,"47,0"
"0,1",2008,2,"0,1"
"0,0",2304,2,"0,0"
"2211,2",2036,26,"85,0"
"193,0",2117,5,"38,6"
"7,0",2497,6,"1,2"
"41,2",2448,4,"10,3"
"6,6",2581,4,"1,6"
"34,3",2295,5,"6,9"
"3823,6",2102,50,"76,5"
"0,0",2344,2,"0,0"
"0,0",2614,0,#DIV/0!
"27,5",2384,4,"6,9"
"1228,5",2040,4,"307,1"
"5,2",2569,4,"1,3"
"1,1",2415,4,"0,3"
"4,9",2419,4,"1,2"
"3,2",2523,6,"0,5"
"162,3",2041,4,"40,6"
"6,3",2463,6,"1,1"
"214,8",2609,12,"17,9"
"5469,0",2156,18,"303,8"
"0,1",2014,2,"0,1"
"14,1",2422,4,"3,5"
"20,0",2547,4,"5,0"
"40,1",2308,8,"5,0"
"4,5",2545,4,"1,1"
"0,1",2017,2,"0,1"
"17516,9",2126,341,"51,4"
"6971,6",2138,13,"536,3"
"10,6",2487,8,"1,3"
"246,5",2129,11,"22,4"
"11,4",2400,4,"2,8"
"0,0",2004,2,"0,0"
"1,0",2483,8,"0,1"
"16,5",2390,4,"4,1"
"2226,6",2081,41,"54,3"
"14,9",2453,6,"2,5"
"4587,8",2084,92,"49,9"
"0,9",2417,4,"0,2"
"6,4",2505,4,"1,6"
"0,0",2284,2,"0,0"
"28,0",2209,4,"7,0"
"2879,6",2162,62,"46,4"
"3031,5",2173,6,"505,2"
"40,2",2076,6,"6,7"
"12,0",2322,4,"3,0"
"2109,3",2069,9,"234,4"
"7,4",2370,4,"1,9"
"1699,8",2130,6,"283,3"
"5,8",2440,4,"1,4"
"9609,7",2086,94,"102,2"
"9777,3",2087,244,"40,1"
"23,3",2471,6,"3,9"
"8865,4",2062,164,"54,1"
"0,1",2232,3,"0,0"
"12,7",2474,4,"3,2"
"9488,3",2136,222,"42,7"
"37,7",2351,4,"9,4"
"26,5",2229,4,"6,6"
"337,1",2056,14,"24,1"
"8610,4",2071,17,"506,5"
"0,4",2331,2,"0,2"
"0,0",2215,0,#DIV/0!
"15883,1",2001,138,"115,1"
"16,9",2600,6,"2,8"
"6944,4",2186,54,"128,6"
"242,7",2273,8,"30,3"
"2984,1",2080,65,"45,9"
"2067,5",2191,42,"49,2"
"27,0",2025,8,"3,4"
"594,4",2033,9,"66,0"
"7,4",2627,2,"3,7"
"0,0",2616,0,#DIV/0!
"5,5",2554,8,"0,7"
"0,0",2178,0,#DIV/0!
"3,2",2589,4,"0,8"
"6,8",2576,4,"1,7"
"1308,8",2604,100,"13,1"
"0,0",2365,1,"0,0"
"136,7",2170,7,"19,5"
"3,7",2466,4,"0,9"
"0,5",2593,4,"0,1"
"19,8",2455,4,"5,0"
"6,5",2401,4,"1,6"
"1,2",2078,6,"0,2"
"150,1",2241,2,"75,1"
"0,0",2622,2,"0,0"
"4,5",2375,4,"1,1"
"1192,0",2320,14,"85,1"
"16180,1",2153,268,"60,4"
"5019,8",2163,16,"313,7"
"246,4",2312,2,"123,2"
"474,0",2323,12,"39,5"
"10,0",2279,4,"2,5"
"158,0",2099,6,"26,3"
"184,1",2067,4,"46,0"
"8,1",2605,4,"2,0"
