Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,0.622,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2011/Council%20Period%2011/Builder%20Score%20b2c8d19ffdcb4766ba1ad5078ba66a9c.md), Content Score (Council%2011/Council%20Period%2011/Content%20Score%20004119f9e07b44c9a77b2e142972c598.md), Distributor Score (Council%2011/Council%20Period%2011/Distributor%20Score%20668f361a5c0b4105889f5aabfed663b5.md), Storage Score (Council%2011/Council%20Period%2011/Storage%20Score%20afb78d52beb24d74965d2df84f748f5c.md), HR Score (Council%2011/Council%20Period%2011/HR%20Score%20f282b71f1e514de5be6809072e19e6c1.md), Council Period Summary (Council%2011/Council%20Period%2011/Council%20Period%20Summary%20c62edd5e51cd409f89fe993f00f2ba01.md), Council Period Plan (Council%2011/Council%20Period%2011/Council%20Period%20Plan%201aafb769821e478ba8b9e0e03461be6b.md), Lead Opportunities (Council%2011/Council%20Period%2011/Lead%20Opportunities%2064ddcb1efd07465eb73969d99d081552.md), Meeting score (Council%2011/Council%20Period%2011/Meeting%20score%208226cff619df4c2f8ade740d444b3b30.md)",,"Composite Grade, Master Score, Overall Grade",Completed
Forum Score,Forum,FORUM_SCORE,0.615,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2011/Council%20Period%2011/Forum%20Report%20560c8ea5d6534899b8ac904439ef2a4b.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20dff7837737a142b7ac485a34cfb3944d.md), Moderation Score (Council%2011/Council%20Period%2011/Moderation%20Score%206542cbb0d567426694367e1516017bc4.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20cf7fd270f2224d96a61ab6cb8eb7e159.md)",,"Composite Grade, Master Score",Completed
Builder Score,Builders,BUILDER_SCORE,0.717,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2066dd10fb9208439586139f01f462082d.md), Builders Report (Council%2011/Council%20Period%2011/Builders%20Report%2062b4b6f4230a45b096ad5fe0ed9e0c4c.md), Testing (Council%2011/Council%20Period%2011/Testing%2096a0d26fd00b4628a672e096751a7b5a.md), Pioneer Development (Council%2011/Council%20Period%2011/Pioneer%20Development%202c9392fe7c4d4c769a564377647100f5.md), General Development (Council%2011/Council%20Period%2011/General%20Development%206021bbf03c0840c3b89be09be661001c.md)",Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),"Composite Grade, Master Score",Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,0.228,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2011/Council%20Period%2011/System%2002659cca2093407ab8b0e75d5acda674.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2028ddd6b219f3487e8a5f322cd0133089.md), Distributors Report (Council%2011/Council%20Period%2011/Distributors%20Report%206d00f707bfd34f869b6649225ec54d28.md)",Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),"Composite Grade, Master Score",Completed
Content Score,Content,CONTENT_SCORE,0.358,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20e6d810f18c2c443db74b2e4aa8afb281.md), Content Report (Council%2011/Council%20Period%2011/Content%20Report%20248f09c81607432992eff6f949d93ef9.md), Featuring Score (Council%2011/Council%20Period%2011/Featuring%20Score%20d649cc184bcb4106b79bc578a6b586ba.md), Moderation Score (Council%2011/Council%20Period%2011/Moderation%20Score%2036924e7f43724a928e709ce8164fa690.md), Logging does not occur (Council%2011/Council%20Period%2011/Logging%20does%20not%20occur%2064e8494eb0224f9ab79791821928733f.md), Featured Content Unplayable (Council%2011/Council%20Period%2011/Featured%20Content%20Unplayable%203ce0222d997a463aae5df254b8e5ff86.md), Failure to apply moderation rules (Council%2011/Council%20Period%2011/Failure%20to%20apply%20moderation%20rules%201ca29bfbd4754558b21a899e72575967.md)",Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),"Composite Grade, Master Score",Completed
HR Score,HR,HR_SCORE,0.79,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20722835ea84824ffa8cee22c02e94a6a0.md), HR Report (Council%2011/Council%20Period%2011/HR%20Report%20517eb9c670c14c57a796d2b34dc59225.md), Response Time (Council%2011/Council%20Period%2011/Response%20Time%20130795b6164042539004d7469d19b2cf.md), Person Logging Score (Council%2011/Council%20Period%2011/Person%20Logging%20Score%20569ad6e088c2498cbaa9cab1e673a046.md), Interaction Logging Score (Council%2011/Council%20Period%2011/Interaction%20Logging%20Score%20838c086fc77f42988bd078a538d93cee.md), Bounty Management Score (Council%2011/Council%20Period%2011/Bounty%20Management%20Score%201ac3d898279241e4ba39e8641a0ea202.md)",Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),"Composite Grade, Master Score",Completed
Marketing Score,Marketing,MARKETER_SCORE,0.65,,,,Master Score,Completed
Storage Score,Storage,STORAGE_SCORE,0.772,,"Uploads (Council%2011/Council%20Period%2011/Uploads%20cf239054f51842379ae79a83e42b4ffa.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20bd8fc0e6d40c4ad49bd055e5ccd08c52.md), System (Council%2011/Council%20Period%2011/System%20c29e2b7350484ab4b8b14a512ae375be.md), Storage Report (Council%2011/Council%20Period%2011/Storage%20Report%20d40e7884b6af489e895150a46d8bd8ff.md)",Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),"Composite Grade, Master Score",Completed
General WG Score,Content,GENERAL_WG_SCORE,0.474,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%20a1ba75a582334b61a03e2dd417edac52.md), WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%20f35e9fac8aba4fcb81e1efbfd3c28ea2.md), WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%204f3607903f2c47479b42e45a66abc146.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%202f24b5b66d144dbca0e4e8e1dfba3b82.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%20124ca32fa2ec4c1398071ec7e847be94.md)",Content Score (Council%2011/Council%20Period%2011/Content%20Score%20004119f9e07b44c9a77b2e142972c598.md),"Composite Grade, General WG Score",Completed
General WG Score,Forum,GENERAL_WG_SCORE,0.33,,"WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%20a17b8ce7d8554abe9f03131bc316aa14.md), WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%20072c2397ef4948af8343f45e70e304dd.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%203d08524bf079446c899e325a0602f94d.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%2028bcca9cc99f4441b7591d9b1649d17d.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%202e6f4482b90a4a6fa68ca998ac78ad0c.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%202e00d77a26c74d0c83e872e455823ddb.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%203f47209fe49a4d92a8e6da137d890a15.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%201c50777e865b46f9bedcd5d0c669cd0f.md)",Forum Score (Council%2011/Council%20Period%2011/Forum%20Score%2025e7daf61d4e41b4b2e3b7c80e1f24ad.md),"Composite Grade, General WG Score",Completed
