Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,0.671,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2012/Council%20Period%2012/Builder%20Score%202b5d19c81dd44011adf5d62dd7bd0452.md), Content Score (Council%2012/Council%20Period%2012/Content%20Score%20b08dfe436167478896a2484a781b2310.md), Distributor Score (Council%2012/Council%20Period%2012/Distributor%20Score%207d6cf020570c4b519936a2cd1b8e7a39.md), Storage Score (Council%2012/Council%20Period%2012/Storage%20Score%203968f349f7b845b9820cbd3eac936a96.md), HR Score (Council%2012/Council%20Period%2012/HR%20Score%20db46b31a95e24ab890ea00725ba164a4.md), Council Period Summary (Council%2012/Council%20Period%2012/Council%20Period%20Summary%2038c58a88a28949bbbde548d46540b677.md), Council Period Plan (Council%2012/Council%20Period%2012/Council%20Period%20Plan%209eb463358c0640d9ab661bd6d8879ab5.md), Lead Opportunities (Council%2012/Council%20Period%2012/Lead%20Opportunities%200fdd85834e1d444dab3980bb127769de.md), Meeting score (Council%2012/Council%20Period%2012/Meeting%20score%20a27b0b8fb577415bad156d38463fb481.md)",,"Composite Grade, Master Score, Overall Grade",Completed
Forum Score,Forum,FORUM_SCORE,0.676,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2012/Council%20Period%2012/Forum%20Report%20c85fb1ae5cdd4a1995fc40874dedf826.md), General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%2026d436d6a638405299ac15f6c516786d.md), Moderation Score (Council%2012/Council%20Period%2012/Moderation%20Score%206e876c6d5cb94729ac8049be59e4ce85.md), General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%204fad7561bd90486c9c0808f3060eff7a.md)",,"Composite Grade, Master Score",Completed
Builder Score,Builders,BUILDER_SCORE,0.513,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%20bfec90b4148a4c0184cbac4a82855423.md), Builders Report (Council%2012/Council%20Period%2012/Builders%20Report%20601c9c730b8a4d7a8b430c3725a91ea1.md), Testing (Council%2012/Council%20Period%2012/Testing%2043324fba816041319a06b425061d2981.md), Pioneer Development (Council%2012/Council%20Period%2012/Pioneer%20Development%202c015246d25f4501874ffa3c11017f19.md), General Development (Council%2012/Council%20Period%2012/General%20Development%20079b4fbf599b4de0be4a823731e28539.md)",Network Performance Score (Council%2012/Council%20Period%2012/Network%20Performance%20Score%20df364e5f888146fe84fa0f66484c0bc7.md),"Composite Grade, Master Score",Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,0.4458,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2012/Council%20Period%2012/System%2040c29b07b88a4b56afc9d5c310c667fb.md), General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%205052b5752f794d3386b1117850b7d15d.md), Distributors Report (Council%2012/Council%20Period%2012/Distributors%20Report%20a4ea4e202d974100871932cceb45133d.md)",Network Performance Score (Council%2012/Council%20Period%2012/Network%20Performance%20Score%20df364e5f888146fe84fa0f66484c0bc7.md),"Composite Grade, Master Score",Completed
Content Score,Content,CONTENT_SCORE,0.413,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%20f06980011a00451e994f06bf2b6ad23a.md), Content Report (Council%2012/Council%20Period%2012/Content%20Report%206d84615e83e64e5ea1d19d4a371cb64b.md), Featuring Score (Council%2012/Council%20Period%2012/Featuring%20Score%2085047c92ab7844e3ab0a7afc10a7c604.md), Moderation Score (Council%2012/Council%20Period%2012/Moderation%20Score%204a0c0d7722284b349d93f22d481a1d6b.md), Logging does not occur (Council%2012/Council%20Period%2012/Logging%20does%20not%20occur%20dd368f3c27014da8b5a6d419c77ff4af.md), Featured Content Unplayable (Council%2012/Council%20Period%2012/Featured%20Content%20Unplayable%209e0b0d428394484eafb9c58659398ed6.md), Failure to apply moderation rules (Council%2012/Council%20Period%2012/Failure%20to%20apply%20moderation%20rules%20c3196df308e84ff2b7ca992328fd38b6.md), Curation Testing Score (Council%2012/Council%20Period%2012/Curation%20Testing%20Score%2096ffab775a484d32a2646ab838c61e65.md)",Network Performance Score (Council%2012/Council%20Period%2012/Network%20Performance%20Score%20df364e5f888146fe84fa0f66484c0bc7.md),"Composite Grade, Master Score",Completed
HR Score,HR,HR_SCORE,0.869,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%20cb91297f5ef646c4a12dae36eba3abe5.md), HR Report (Council%2012/Council%20Period%2012/HR%20Report%2020e8418e1f9642c2b378591defdba798.md), Response Time (Council%2012/Council%20Period%2012/Response%20Time%2014ab41c1a44246f399e3bea4098a0a91.md), Person Logging Score (Council%2012/Council%20Period%2012/Person%20Logging%20Score%20aa37de55876340aaab76aebbfe885280.md), Interaction Logging Score (Council%2012/Council%20Period%2012/Interaction%20Logging%20Score%20b9564c5d23f3473fa579db275b142c69.md), Bounty Management Score (Council%2012/Council%20Period%2012/Bounty%20Management%20Score%209252b35ec28b4aecb98bfb43b84ef0e3.md)",Network Performance Score (Council%2012/Council%20Period%2012/Network%20Performance%20Score%20df364e5f888146fe84fa0f66484c0bc7.md),"Composite Grade, Master Score",Completed
Marketing Score,Marketing,MARKETER_SCORE,0.652,,,,Master Score,Completed
Storage Score,Storage,STORAGE_SCORE,0.657,,"Uploads (Council%2012/Council%20Period%2012/Uploads%20254d86b7774445d2a59ff1ae69f60c38.md), General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%20744c2bf3d4c34535be8f4f4ff56974eb.md), System (Council%2012/Council%20Period%2012/System%203704109b728f46f8a525f95631c3ce49.md), Storage Report (Council%2012/Council%20Period%2012/Storage%20Report%20de84be5655dc41ac9364caf6d71ec99e.md), Logging (Council%2012/Council%20Period%2012/Logging%201ec332e86b1b4f46ac8c844395d1f6f7.md)",Network Performance Score (Council%2012/Council%20Period%2012/Network%20Performance%20Score%20df364e5f888146fe84fa0f66484c0bc7.md),"Composite Grade, Master Score",Completed
General WG Score,Content,GENERAL_WG_SCORE,0.557,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2012/Council%20Period%2012/WG%20Opportunities%2030cba17caebf40c4b4498dbbffe53f91.md), WG Summary (Council%2012/Council%20Period%2012/WG%20Summary%20bf1c8e7866f344fca824d483932d3138.md), WG Period Plan (Council%2012/Council%20Period%2012/WG%20Period%20Plan%202d0fbc98cc1c4072a7f06ef8671af1fd.md), Opening Score (Council%2012/Council%20Period%2012/Opening%20Score%20b48162faed25427e91da2d7c9ab907b7.md), Bounty Score (Council%2012/Council%20Period%2012/Bounty%20Score%207d13673d3c0e4d7696b03a2bd912cbb7.md)",Content Score (Council%2012/Council%20Period%2012/Content%20Score%20b08dfe436167478896a2484a781b2310.md),"Composite Grade, General WG Score",Completed
General WG Score,Forum,GENERAL_WG_SCORE,0.451,,"WG Period Plan (Council%2012/Council%20Period%2012/WG%20Period%20Plan%20288c6fe41d954e05a067361854dd729b.md), WG Summary (Council%2012/Council%20Period%2012/WG%20Summary%203bbf0cd76b934f4cb64016d6eb0e0f0d.md), WG Opportunities (Council%2012/Council%20Period%2012/WG%20Opportunities%208518cc0906c7444f9090df6fc7d70e5a.md), Opening Score (Council%2012/Council%20Period%2012/Opening%20Score%20590deb26bb8c4756ae41a705a82cde2a.md), Bounty Score (Council%2012/Council%20Period%2012/Bounty%20Score%20f4c4b162b4ba43c1a1a33bd8157e25e9.md), WG Opportunities (Council%2012/Council%20Period%2012/WG%20Opportunities%2013998c084bd84941b8b18d0ddc6231b2.md), Bounty Score (Council%2012/Council%20Period%2012/Bounty%20Score%20d16d38eb26f747ae8f3f9b605d808f88.md), Opening Score (Council%2012/Council%20Period%2012/Opening%20Score%2091640463b6d147a29db57305e002fba4.md)",Forum Score (Council%2012/Council%20Period%2012/Forum%20Score%20058ae7e2edd64cc7abd0b755207262a5.md),"Composite Grade, General WG Score",Calculation
