Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,0.713,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2013/Council%20Period%2013/Builder%20Score%204271b831b6884c638e69914cc1aa69c5.md), Content Score (Council%2013/Council%20Period%2013/Content%20Score%20c264de5c24ac4e1eb1499e23ba0af73d.md), Distributor Score (Council%2013/Council%20Period%2013/Distributor%20Score%2036f981fbcc494a1aaa3e1be2ebb7d4b5.md), Storage Score (Council%2013/Council%20Period%2013/Storage%20Score%2011bb09839a654b49b106dd69c97846fb.md), HR Score (Council%2013/Council%20Period%2013/HR%20Score%20d3f011568da9461aa8adf45e227fdbc4.md), Council Period Summary (Council%2013/Council%20Period%2013/Council%20Period%20Summary%20eac788da97124b4690ce83f9c830ff28.md), Council Period Plan (Council%2013/Council%20Period%2013/Council%20Period%20Plan%208de04909f0ba468397a16ba494df041e.md), Lead Opportunities (Council%2013/Council%20Period%2013/Lead%20Opportunities%201c89a0a98ca04f54acd422e0f043ee13.md), Meeting score (Council%2013/Council%20Period%2013/Meeting%20score%200bb35b4d24bf4a998f2c0289ae29c80a.md)",,"Composite Grade, Master Score, Overall Grade",Completed
Forum Score,Forum,FORUM_SCORE,0.757,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2013/Council%20Period%2013/Forum%20Report%2009f5145d32cd4bfdb96ff9a3da84204b.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2010ea71085e3f44ebb9436f7b2b3772ae.md), Moderation Score (Council%2013/Council%20Period%2013/Moderation%20Score%20e2e8e1d61bae404187536ccfbf22ffbf.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e32ff4d633854d3cbb0f3b75e1d5fab3.md)",,"Composite Grade, Master Score",Completed
Builder Score,Builders,BUILDER_SCORE,0.847,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20ffe15f7802404037b3af1b9425741817.md), Builders Report (Council%2013/Council%20Period%2013/Builders%20Report%205928ce63b82445d7933ca402b3be8faa.md), Testing (Council%2013/Council%20Period%2013/Testing%20f0761bf519f6448e83eaa92c7ac72ecd.md), Pioneer Development (Council%2013/Council%20Period%2013/Pioneer%20Development%2092aec1ab5ba448d79837b08843ac1928.md), General Development (Council%2013/Council%20Period%2013/General%20Development%20f5025f31ad41477a871f5d5a93e02b84.md)",Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),"Composite Grade, Master Score",Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,0.371,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2013/Council%20Period%2013/System%20e79c4a6f723049f58f22550b2272888a.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2064a9fad469194a6eb58b86b8510ff9dc.md), Distributors Report (Council%2013/Council%20Period%2013/Distributors%20Report%2098fc4ed3596c4c40aca3a1134b8ba258.md)",Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),"Composite Grade, Master Score",Completed
Content Score,Content,CONTENT_SCORE,0.428,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e771b850fd0a4876a53b3a1d75b48c60.md), Content Report (Council%2013/Council%20Period%2013/Content%20Report%20e36c0c9da3fd4133828a492910566135.md), Featuring Score (Council%2013/Council%20Period%2013/Featuring%20Score%20f64ba701ab6a413e9d543a48e8a58e99.md), Moderation Score (Council%2013/Council%20Period%2013/Moderation%20Score%20f35a1cb86d584032be2379137a2ae28c.md), Logging does not occur (Council%2013/Council%20Period%2013/Logging%20does%20not%20occur%20a7e384e994fc4670922144d75018231f.md), Featured Content Unplayable (Council%2013/Council%20Period%2013/Featured%20Content%20Unplayable%2031c9d121e60241959f4b8e96ace0e0b9.md), Failure to apply moderation rules (Council%2013/Council%20Period%2013/Failure%20to%20apply%20moderation%20rules%200ef18ef425334a68a86a008a2d963360.md), Curation Testing Score (Council%2013/Council%20Period%2013/Curation%20Testing%20Score%2086becc51a70b40e5b0ecc99f1a911cfc.md)",Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),"Composite Grade, Master Score",Completed
HR Score,HR,HR_SCORE,0.87,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20d92b2286d608415dbc8dd29cf92788fa.md), HR Report (Council%2013/Council%20Period%2013/HR%20Report%20d9743dfe4bcc4c7bb09f17bf76878430.md), Response Time (Council%2013/Council%20Period%2013/Response%20Time%20084c2565c14645cf96ce3f5e9b2adcae.md), Person Logging Score (Council%2013/Council%20Period%2013/Person%20Logging%20Score%20773f684b58e44e2f8ee0918dc6272249.md), Interaction Logging Score (Council%2013/Council%20Period%2013/Interaction%20Logging%20Score%207a800978ad264f51963228d3d827ea48.md), Bounty Management Score (Council%2013/Council%20Period%2013/Bounty%20Management%20Score%20656f6236b72b4a68bd8b6f64d4446328.md)",Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),"Composite Grade, Master Score",Completed
Marketing Score,Marketing,MARKETER_SCORE,0.738,,,,Master Score,Completed
Storage Score,Storage,STORAGE_SCORE,0.637,,"Uploads (Council%2013/Council%20Period%2013/Uploads%2046251f7d406446dda326e3efeab8908a.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e2b0036082964c1f95d9bf7662387a4f.md), System (Council%2013/Council%20Period%2013/System%209818ab29f7564a899d2be0ce89aa573b.md), Storage Report (Council%2013/Council%20Period%2013/Storage%20Report%200dde8ff4ad2c4c7db2ae27bd9e4c4852.md), Logging (Council%2013/Council%20Period%2013/Logging%2021d73951ac834fc3a55e1f5b2db564b0.md)",Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),"Composite Grade, Master Score",Completed
General WG Score,Content,GENERAL_WG_SCORE,0.676,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2013/Council%20Period%2013/WG%20Opportunities%2097547937408349cab90ce719838c80b4.md), WG Summary (Council%2013/Council%20Period%2013/WG%20Summary%20aba2bf71530948d8843b41c05ffc4671.md), WG Period Plan (Council%2013/Council%20Period%2013/WG%20Period%20Plan%209fc7a693b13047b2ba3a38d67f18b399.md), Opening Score (Council%2013/Council%20Period%2013/Opening%20Score%20fa1e5536f519416d8e83c1a68b89c21c.md), Bounty Score (Council%2013/Council%20Period%2013/Bounty%20Score%208171afd6bd8c43329fa4f9d0e4f93d81.md)",Content Score (Council%2013/Council%20Period%2013/Content%20Score%20c264de5c24ac4e1eb1499e23ba0af73d.md),"Composite Grade, General WG Score",Completed
General WG Score,HR,GENERAL_WG_SCORE,1,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2013/Council%20Period%2013/WG%20Period%20Plan%20c0bc5beff94343b2978a8bae19b7ddd3.md), WG Summary (Council%2013/Council%20Period%2013/WG%20Summary%20155fbd7e9ccc40d3a9e05421921c0daa.md), WG Opportunities (Council%2013/Council%20Period%2013/WG%20Opportunities%205e27f00b860f4f7ab95620b5e58dd8c9.md), Opening Score (Council%2013/Council%20Period%2013/Opening%20Score%206a4f05328fd24be4bf09a604925d9c43.md), Bounty Score (Council%2013/Council%20Period%2013/Bounty%20Score%20403e4fae25e24fb28208096416e7db49.md)",HR Score (Council%2013/Council%20Period%2013/HR%20Score%20d3f011568da9461aa8adf45e227fdbc4.md),"Composite Grade, General WG Score",Not Completed
