Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,0.784,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2015/Council%20Period%2015/Builder%20Score%20aebe8f9e28764203a96bb8a568d786f5.md), Content Score (Council%2015/Council%20Period%2015/Content%20Score%202b8e279f4ef94e1aa9c4a60f3c903191.md), Distributor Score (Council%2015/Council%20Period%2015/Distributor%20Score%205ac7a53a69964ecbbe889e7e65dfcc1f.md), Storage Score (Council%2015/Council%20Period%2015/Storage%20Score%20760ea13e9ae54d969779016f0bdb811b.md), HR Score (Council%2015/Council%20Period%2015/HR%20Score%20ee1623e1028742208dca69a4a7f71cd7.md), Council Period Summary (Council%2015/Council%20Period%2015/Council%20Period%20Summary%2038b30dec12a542e8931a946af19faf8e.md), Council Period Plan (Council%2015/Council%20Period%2015/Council%20Period%20Plan%20640007c5f9d247758e5bce48bffd1150.md), Lead Opportunities (Council%2015/Council%20Period%2015/Lead%20Opportunities%20e9bc4f8aba16401b8207c35536a7bb8c.md), Meeting score (Council%2015/Council%20Period%2015/Meeting%20score%20156a2a92c8424b469c246239223028dc.md)",,"Composite Grade, Master Score, Overall Grade",Completed
Forum Score,Forum,FORUM_SCORE,0.85,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2015/Council%20Period%2015/Forum%20Report%20255c6f5963c24885bb6e2742ffdc8ad0.md), General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20327cabeca9dd452ca395dd43965aedac.md), Moderation Score (Council%2015/Council%20Period%2015/Moderation%20Score%201a7348e2181e4ccd8b59be416c204269.md), General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20581584cd10e945ebaebd068a1c79df31.md)",,"Composite Grade, Master Score",Completed
Builder Score,Builders,BUILDER_SCORE,0.895,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%204a85dd59ca73468aa54f3b0820d3f7ad.md), Builders Report (Council%2015/Council%20Period%2015/Builders%20Report%207a7d3c779e6b4e93a2fe657e1ed688b0.md), Testing (Council%2015/Council%20Period%2015/Testing%20b7999fc8e4c345068b19f98bfbcef73a.md), Pioneer Development (Council%2015/Council%20Period%2015/Pioneer%20Development%20532005f1aed14173a9f6b1de0b73419b.md), General Development (Council%2015/Council%20Period%2015/General%20Development%20ec0156ef29a044ddaf0d6c05c074bfb6.md)",Network Performance Score (Council%2015/Council%20Period%2015/Network%20Performance%20Score%2065a72b4d8614419d98487f7ad30e8b17.md),"Composite Grade, Master Score",Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,0.53,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2015/Council%20Period%2015/System%205397e0ed9e7c4d58817e35a56b42e588.md), General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%206b3c5fae2ac0411782d52f7e8d32682a.md), Distributors Report (Council%2015/Council%20Period%2015/Distributors%20Report%209920a32f7e894987b0697f7118ca7653.md)",Network Performance Score (Council%2015/Council%20Period%2015/Network%20Performance%20Score%2065a72b4d8614419d98487f7ad30e8b17.md),"Composite Grade, Master Score",Completed
Content Score,Content,CONTENT_SCORE,0.548,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20ef200c40829449628f014f7d2b5dff74.md), Content Report (Council%2015/Council%20Period%2015/Content%20Report%2083838f9f79df4810b672ba348e99f568.md), Featuring Score (Council%2015/Council%20Period%2015/Featuring%20Score%207150d829cc044f28aa788a893ec72bfe.md), Moderation Score (Council%2015/Council%20Period%2015/Moderation%20Score%206fc6ce54b4604f16b4d64885058929c6.md), Logging does not occur (Council%2015/Council%20Period%2015/Logging%20does%20not%20occur%20b6cdc3244adb4aad9bcd74ce37a825c5.md), Featured Content Unplayable (Council%2015/Council%20Period%2015/Featured%20Content%20Unplayable%20dcb0be9d63cd4ecb932465660a521f5f.md), Failure to apply moderation rules (Council%2015/Council%20Period%2015/Failure%20to%20apply%20moderation%20rules%202e7338c736a448f4af626d5043b615b3.md), Migration Score (Council%2015/Council%20Period%2015/Migration%20Score%20aa428a9e4916491fa780e636a30bd6a5.md)",Network Performance Score (Council%2015/Council%20Period%2015/Network%20Performance%20Score%2065a72b4d8614419d98487f7ad30e8b17.md),"Composite Grade, Master Score",Completed
HR Score,HR,HR_SCORE,0.74,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20320634e5f5a048668af5d0d675507e40.md), HR Report (Council%2015/Council%20Period%2015/HR%20Report%20ec7cbe7ddfd34849b3056fb73e40fce7.md), Response Time (Council%2015/Council%20Period%2015/Response%20Time%207bfdb8d75c954ccdb0900514a75a5755.md), Person Logging Score (Council%2015/Council%20Period%2015/Person%20Logging%20Score%20086af04730dd4414bacb820ef19a60ed.md), Interaction Logging Score (Council%2015/Council%20Period%2015/Interaction%20Logging%20Score%208e261af48dae41c7b224730cec8dcfc4.md), Bounty Management Score (Council%2015/Council%20Period%2015/Bounty%20Management%20Score%20dde086c14f63465e84b7afb91a7176dd.md)",Network Performance Score (Council%2015/Council%20Period%2015/Network%20Performance%20Score%2065a72b4d8614419d98487f7ad30e8b17.md),"Composite Grade, Master Score",Completed
Marketing Score,Marketing,MARKETER_SCORE,0.809,,,,Master Score,Completed
Storage Score,Storage,STORAGE_SCORE,0.614,,"Uploads (Council%2015/Council%20Period%2015/Uploads%20e709ac3b0a624567a574c686e823baa0.md), General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%205e6e69ef2f6a4ed2936b7191139065fb.md), System (Council%2015/Council%20Period%2015/System%207ee5a049da8f46088fcef47db658791b.md), Storage Report (Council%2015/Council%20Period%2015/Storage%20Report%20d75ac92f8a8b4e0895a4cf7582f2485d.md), Cost (Council%2015/Council%20Period%2015/Cost%2037ef3d0013b6479592a89e29cda20e1d.md)",Network Performance Score (Council%2015/Council%20Period%2015/Network%20Performance%20Score%2065a72b4d8614419d98487f7ad30e8b17.md),"Composite Grade, Master Score",Completed
General WG Score,Distributors,GENERAL_WG_SCORE,0.85,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2015/Council%20Period%2015/WG%20Period%20Plan%20a056c58763e144bfab3e7e9fe5ea286e.md), WG Summary (Council%2015/Council%20Period%2015/WG%20Summary%2043905be4f2c44153acec89d0fab73b23.md), WG Opportunities (Council%2015/Council%20Period%2015/WG%20Opportunities%20832e94afb556421a857437988509afbf.md), Opening Score (Council%2015/Council%20Period%2015/Opening%20Score%2019947476c5304445806456fedf25029e.md), Bounty Score (Council%2015/Council%20Period%2015/Bounty%20Score%20c8f80c683b1c4fb9a2cfa2701e113d95.md)",Distributor Score (Council%2015/Council%20Period%2015/Distributor%20Score%205ac7a53a69964ecbbe889e7e65dfcc1f.md),"Composite Grade, General WG Score",Completed
General WG Score,Marketing,GENERAL_WG_SCORE,0.747,,"WG Opportunities (Council%2015/Council%20Period%2015/WG%20Opportunities%20df3d60e5e0374a38920ce5f8072fab82.md), Opening Score (Council%2015/Council%20Period%2015/Opening%20Score%20f39f2745545542548b9c52a60a69717a.md), Bounty Score (Council%2015/Council%20Period%2015/Bounty%20Score%20a2283079dabb4c3bb0002aff294e3d6b.md), WG Period Plan (Council%2015/Council%20Period%2015/WG%20Period%20Plan%20c02c5f0e5d774e3abc40a8e7b77e583c.md), WG Summary (Council%2015/Council%20Period%2015/WG%20Summary%2088f236f485d14d6da7750d1c64bce145.md), WG Opportunities (Council%2015/Council%20Period%2015/WG%20Opportunities%20b3c4ee0f30f7419489c909a2b7626c86.md), Bounty Score (Council%2015/Council%20Period%2015/Bounty%20Score%205e54a2471cc9475ca01b83c95252bf3d.md), Opening Score (Council%2015/Council%20Period%2015/Opening%20Score%202613a2133a2e4b7692ab149de344b2f2.md)",Forum Score (Council%2015/Council%20Period%2015/Forum%20Score%20917d5235fbe94271bf334bd27df7262e.md),"Composite Grade, General WG Score",Completed
