Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Storage,,Completed,,,Storage Score (Council%2015/Council%20Period%2015/Storage%20Score%20760ea13e9ae54d969779016f0bdb811b.md),,0.7,,No,,"WG Summary (Council%2015/Council%20Period%2015/WG%20Summary%20e85816327f134854aa83ebd43af095cf.md), WG Period Plan (Council%2015/Council%20Period%2015/WG%20Period%20Plan%2018aa4e5fce0c4e4b8bcaf34da1f8103a.md), WG Opportunities (Council%2015/Council%20Period%2015/WG%20Opportunities%20b990749010aa4fa8878173b98c9fbc21.md), Opening Score (Council%2015/Council%20Period%2015/Opening%20Score%20f12bda4570274101ae2215ec19606524.md), Bounty Score (Council%2015/Council%20Period%2015/Bounty%20Score%20f2c08759002d42979617e274d8fe31e6.md)"
Person Logging Score,"Group Specific Scores, Subscore",,,PERSON_LOGGING_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,Completed,,,HR Score (Council%2015/Council%20Period%2015/HR%20Score%20ee1623e1028742208dca69a4a7f71cd7.md),,1,,No,,
Permanent Data Object Loss,"Catastrophic Errors, Grade, Spot Check",,,,Storage,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,Not Completed,,,,,,,No,,
Moderation Score,"Group Specific Scores, Subscore",,,MODERATION_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Completed,,,Content Score (Council%2015/Council%20Period%2015/Content%20Score%202b8e279f4ef94e1aa9c4a60f3c903191.md),,0.75,,No,,Total Breaches of Policy (Council%2015/Council%20Period%2015/Total%20Breaches%20of%20Policy%206bc7f213039943669edcc10fed8edd96.md)
No available sources for data object,"Catastrophic Errors, Grade, Spot Check",,,,Distributors,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,Not Completed,,,,,,,No,,
Featured Content Unplayable,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,Not Completed,,,Content Score (Council%2015/Council%20Period%2015/Content%20Score%202b8e279f4ef94e1aa9c4a60f3c903191.md),,,,No,,
General Development,"Grade, Group Specific Scores, Spot Check, Subscore",,,GENERAL_DEVELOPMENT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,Completed,,,Builder Score (Council%2015/Council%20Period%2015/Builder%20Score%20aebe8f9e28764203a96bb8a568d786f5.md),,1,,No,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Forum,,Completed,,,Forum Score (Council%2015/Council%20Period%2015/Forum%20Score%20917d5235fbe94271bf334bd27df7262e.md),,0.8,,No,,"WG Period Plan (Council%2015/Council%20Period%2015/WG%20Period%20Plan%205a9d2ad38356455eb367acda1e3600f5.md), WG Summary (Council%2015/Council%20Period%2015/WG%20Summary%20bd54eb373a5d4433a8041572d7351773.md), WG Opportunities (Council%2015/Council%20Period%2015/WG%20Opportunities%20df3d60e5e0374a38920ce5f8072fab82.md), Opening Score (Council%2015/Council%20Period%2015/Opening%20Score%20f39f2745545542548b9c52a60a69717a.md), Bounty Score (Council%2015/Council%20Period%2015/Bounty%20Score%20a2283079dabb4c3bb0002aff294e3d6b.md), WG Opportunities (Council%2015/Council%20Period%2015/WG%20Opportunities%20b3c4ee0f30f7419489c909a2b7626c86.md), Bounty Score (Council%2015/Council%20Period%2015/Bounty%20Score%205e54a2471cc9475ca01b83c95252bf3d.md), Opening Score (Council%2015/Council%20Period%2015/Opening%20Score%202613a2133a2e4b7692ab149de344b2f2.md)"
General WG Score,"Composite Grade, General WG Score, Subscore",,,GENERAL_WG_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,Completed,,,Builder Score (Council%2015/Council%20Period%2015/Builder%20Score%20aebe8f9e28764203a96bb8a568d786f5.md),,0.9,,No,,"WG Period Plan (Council%2015/Council%20Period%2015/WG%20Period%20Plan%20b2859334866f49b4b6a36c73c19fd3c0.md), WG Summary (Council%2015/Council%20Period%2015/WG%20Summary%20ed8e61823ccb4556bab306382c9edccd.md), WG Opportunities (Council%2015/Council%20Period%2015/WG%20Opportunities%20b990749010aa4fa8878173b98c9fbc21.md), Opening Score (Council%2015/Council%20Period%2015/Opening%20Score%203c7c2c89bb5541e196f7fde860e7032f.md), Bounty Score (Council%2015/Council%20Period%2015/Bounty%20Score%204621bf4a303048379649683f39feacdf.md)"
Total Breaches of Policy,"Catastrophic Errors, Grade, Spot Check",,,TOTAL_BREACHES_OF_POLICY,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,Not Completed,,,"Moderation Score (Council%2015/Council%20Period%2015/Moderation%20Score%206fc6ce54b4604f16b4d64885058929c6.md), Migration Score (Council%2015/Council%20Period%2015/Migration%20Score%20aa428a9e4916491fa780e636a30bd6a5.md)",,,,No,,
