Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2016/Council%20Period%2016/Builder%20Score%20ad55922df6124bbdb2a9ea173085576e.md), Content Score (Council%2016/Council%20Period%2016/Content%20Score%20fa5ad2b78e4e47399f46f0e689f9f25f.md), Distributor Score (Council%2016/Council%20Period%2016/Distributor%20Score%2082625eab1c6c4cf6a80976595cdfafd5.md), Storage Score (Council%2016/Council%20Period%2016/Storage%20Score%201541aca324c7405c9ac67b3d45afa65c.md), HR Score (Council%2016/Council%20Period%2016/HR%20Score%203a0598bd7d8f446d985038f19c9474f3.md), Council Period Summary (Council%2016/Council%20Period%2016/Council%20Period%20Summary%203b67551310ca43229eb1b65bee2b6f34.md), Council Period Plan (Council%2016/Council%20Period%2016/Council%20Period%20Plan%206c92c8cc8ae0463cbace6d965c6c13c9.md), Lead Opportunities (Council%2016/Council%20Period%2016/Lead%20Opportunities%20d202830d89fb499f9e0cbaa48efd6335.md), Meeting score (Council%2016/Council%20Period%2016/Meeting%20score%2078c0121b690c4220a1f7385bf9b13d40.md)",,"Composite Grade, Master Score, Overall Grade",Not Completed
Forum Score,Forum,FORUM_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2016/Council%20Period%2016/Forum%20Report%206579bef3dae3449e93b6ddf482452e30.md), General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%201890691a93c244fa9ad479d499f12c16.md), Moderation Score (Council%2016/Council%20Period%2016/Moderation%20Score%20cb7246adfc5b4997968ba8c072fa4025.md), General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20437d91370adb4d6ca3b117a518d78c6a.md)",,"Composite Grade, Master Score",Not Completed
Builder Score,Builders,BUILDER_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%204a71c61c988847dc8540022235694566.md), Builders Report (Council%2016/Council%20Period%2016/Builders%20Report%204c2da915ea094053883160fce2b11919.md), Testing (Council%2016/Council%20Period%2016/Testing%20b097d903b86041f2bc0ad7e812a612f5.md), Pioneer Development (Council%2016/Council%20Period%2016/Pioneer%20Development%207387f65c5d734bcf9169e49d348be3b2.md), General Development (Council%2016/Council%20Period%2016/General%20Development%20245a1808df1e4f7290c2af730aabb4ca.md)",Network Performance Score (Council%2016/Council%20Period%2016/Network%20Performance%20Score%202710eb21d7d84f79bed618a5e2acc10a.md),"Composite Grade, Master Score",Not Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2016/Council%20Period%2016/System%207f8c940f23174fd78d039aa08f452c27.md), General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20709728f03e934b87875b15a001c74c5f.md), Distributors Report (Council%2016/Council%20Period%2016/Distributors%20Report%20cbe969c071c2431cb40be43226da0c91.md)",Network Performance Score (Council%2016/Council%20Period%2016/Network%20Performance%20Score%202710eb21d7d84f79bed618a5e2acc10a.md),"Composite Grade, Master Score",Not Completed
Content Score,Content,CONTENT_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20a9ea3a4ccdfd4673b6c0c5e014e45143.md), Content Report (Council%2016/Council%20Period%2016/Content%20Report%20581be81b303a412b87171844f195ab48.md), Featuring Score (Council%2016/Council%20Period%2016/Featuring%20Score%2098219a7fac6f48c0a24bf3fc4f28b566.md), Moderation Score (Council%2016/Council%20Period%2016/Moderation%20Score%204c020261b37b4319bf4bfeaf690602a5.md), Logging does not occur (Council%2016/Council%20Period%2016/Logging%20does%20not%20occur%20ae807604136c4162956c41d1ff766bda.md), Featured Content Unplayable (Council%2016/Council%20Period%2016/Featured%20Content%20Unplayable%2032287e0b99d94b9bbf8d75046cabe4e1.md), Failure to apply moderation rules (Council%2016/Council%20Period%2016/Failure%20to%20apply%20moderation%20rules%20bb0ef952b2ce4264b213e3982640e838.md), Curation Testing Score (Council%2016/Council%20Period%2016/Curation%20Testing%20Score%2043270426a4a245c58a7136ce37351561.md)",Network Performance Score (Council%2016/Council%20Period%2016/Network%20Performance%20Score%202710eb21d7d84f79bed618a5e2acc10a.md),"Composite Grade, Master Score",Not Completed
HR Score,HR,HR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20a2d56bb0de7344cbbe8f0e61278bf390.md), HR Report (Council%2016/Council%20Period%2016/HR%20Report%2058c61dc3fe6047729b149dadd446e89c.md), Response Time (Council%2016/Council%20Period%2016/Response%20Time%201584351b86fd44799cfdfcb87488d664.md), Person Logging Score (Council%2016/Council%20Period%2016/Person%20Logging%20Score%20659e3cc7d33a482099e5a84af5a592e1.md), Interaction Logging Score (Council%2016/Council%20Period%2016/Interaction%20Logging%20Score%206e86373692284882a5204b2a5b2a7266.md), Bounty Management Score (Council%2016/Council%20Period%2016/Bounty%20Management%20Score%20f34007acbc5a49bba7c837f3fa689050.md)",Network Performance Score (Council%2016/Council%20Period%2016/Network%20Performance%20Score%202710eb21d7d84f79bed618a5e2acc10a.md),"Composite Grade, Master Score",Not Completed
Marketing Score,Marketing,MARKETER_SCORE,,,,,Master Score,Not Completed
Storage Score,Storage,STORAGE_SCORE,,,"Uploads (Council%2016/Council%20Period%2016/Uploads%206a35aca89a834478b33d431bbb6a9f17.md), General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%200735b827ba6d46b3a0b69241944b06cd.md), System (Council%2016/Council%20Period%2016/System%20b59bb89470584e1898eefdade61a66df.md), Storage Report (Council%2016/Council%20Period%2016/Storage%20Report%2062caeac447e04c4aa74f82f4ce3b008c.md), Logging (Council%2016/Council%20Period%2016/Logging%203b6af68f8aaf40efb62ea1d2274e3318.md)",Network Performance Score (Council%2016/Council%20Period%2016/Network%20Performance%20Score%202710eb21d7d84f79bed618a5e2acc10a.md),"Composite Grade, Master Score",Not Completed
General WG Score,Content,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%206ded72bc278b402b9f704b87ce3e2f9b.md), WG Summary (Council%2016/Council%20Period%2016/WG%20Summary%208127e8d6379348eab49408dba2981067.md), WG Period Plan (Council%2016/Council%20Period%2016/WG%20Period%20Plan%2025048c534dd14d3b9976f8760e3eb68d.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%20cb8154ca9a6647c7a2bed316541e2657.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%209ee0a7b4627b4c37a1b35671bcf01bc7.md)",Content Score (Council%2016/Council%20Period%2016/Content%20Score%20fa5ad2b78e4e47399f46f0e689f9f25f.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Distributors,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2016/Council%20Period%2016/WG%20Period%20Plan%20650661a8a25b4194b34f7145434b3d03.md), WG Summary (Council%2016/Council%20Period%2016/WG%20Summary%206031159c019443b5a2906da712371e6c.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%209e4e44bba48c4f64975f935bcbcceab7.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%20ef0fdfcfae464ba0b55154b57d4328df.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%20d5dc797fd1444e1f9416adb9f8f24ab3.md)",Distributor Score (Council%2016/Council%20Period%2016/Distributor%20Score%2082625eab1c6c4cf6a80976595cdfafd5.md),"Composite Grade, General WG Score",Not Completed
