Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2017/Council%20Period%2017/Builder%20Score%20d129d8f0cbc8418cb7a52dd6fc7c6e17.md), Content Score (Council%2017/Council%20Period%2017/Content%20Score%2020f580e98b0a4d8f81cc0bde1e1b945c.md), Distributor Score (Council%2017/Council%20Period%2017/Distributor%20Score%2018057ffdc9ec4de7b9e4a1d8a2a9115a.md), Storage Score (Council%2017/Council%20Period%2017/Storage%20Score%20e15ca96343514b7fb2387dd319da8ea0.md), HR Score (Council%2017/Council%20Period%2017/HR%20Score%20db2f8f0b7c834ec2b1502ee202697eac.md), Council Period Summary (Council%2017/Council%20Period%2017/Council%20Period%20Summary%2047d215159c3f4d8297be6622d4bf6f22.md), Council Period Plan (Council%2017/Council%20Period%2017/Council%20Period%20Plan%20ffad54b22fc24d85ad9c8dec6e4cfb94.md), Lead Opportunities (Council%2017/Council%20Period%2017/Lead%20Opportunities%206fa2a01db040484fab713a1cf59add43.md), Meeting score (Council%2017/Council%20Period%2017/Meeting%20score%2000289c59a1694f649fc6647de4a66882.md)",,"Composite Grade, Master Score, Overall Grade",Not Completed
Forum Score,Forum,FORUM_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2017/Council%20Period%2017/Forum%20Report%20e225f7d2d3734142958708091d3a32c0.md), General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%2047dd6cebebb04daca3438103e4e419c0.md), Moderation Score (Council%2017/Council%20Period%2017/Moderation%20Score%204e793044b84e4bc4a759f1eed915d47b.md), General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%208c85c1f67da648ce96377c43d5279109.md)",,"Composite Grade, Master Score",Not Completed
Builder Score,Builders,BUILDER_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%209533f7c398a44d8e8765dafd13b7b3d4.md), Builders Report (Council%2017/Council%20Period%2017/Builders%20Report%2027ba6b5d5213472bac1413a060dfd39e.md), Testing (Council%2017/Council%20Period%2017/Testing%20658aef64b6ff49a9b6ddc964bc954fa8.md), Pioneer Development (Council%2017/Council%20Period%2017/Pioneer%20Development%20ee07e937783a468fa6d0032d13e619c0.md), General Development (Council%2017/Council%20Period%2017/General%20Development%2021976d03024a414c99288e0346f72dff.md)",Network Performance Score (Council%2017/Council%20Period%2017/Network%20Performance%20Score%207931bc831fa94a96a5ff1b373243c067.md),"Composite Grade, Master Score",Not Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2017/Council%20Period%2017/System%201ae04f1fb7194ee5b66aca42a962a56b.md), General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%203c84e13ff5434e9d888718159cc66588.md), Distributors Report (Council%2017/Council%20Period%2017/Distributors%20Report%206804e6bc73d74962b9a2be518c5d776b.md)",Network Performance Score (Council%2017/Council%20Period%2017/Network%20Performance%20Score%207931bc831fa94a96a5ff1b373243c067.md),"Composite Grade, Master Score",Not Completed
Content Score,Content,CONTENT_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%2006d2b1a609dd45519e32258ecb910967.md), Content Report (Council%2017/Council%20Period%2017/Content%20Report%2041fce2798d144326bbf72b08941e4128.md), Featuring Score (Council%2017/Council%20Period%2017/Featuring%20Score%20c3441ae3612f43b1a3ecccaa00f09e20.md), Moderation Score (Council%2017/Council%20Period%2017/Moderation%20Score%204a569f52b5e749c6ace5c92154f63415.md), Logging does not occur (Council%2017/Council%20Period%2017/Logging%20does%20not%20occur%20b534b3c44fe5471f85363f909a00235f.md), Featured Content Unplayable (Council%2017/Council%20Period%2017/Featured%20Content%20Unplayable%20efed4e723ef14926848d7b1044159753.md), Failure to apply moderation rules (Council%2017/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%205ae6568cae984104aeff6c4dcf84c251.md), Curation Testing Score (Council%2017/Council%20Period%2017/Curation%20Testing%20Score%20c07efa42abf94cdc8912369b9b96159a.md)",Network Performance Score (Council%2017/Council%20Period%2017/Network%20Performance%20Score%207931bc831fa94a96a5ff1b373243c067.md),"Composite Grade, Master Score",Not Completed
HR Score,HR,HR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%20d2ffe76ce2ec4a488047272ee9d6a706.md), HR Report (Council%2017/Council%20Period%2017/HR%20Report%20d439dc9474d24eb7910d5240210cadb0.md), Response Time (Council%2017/Council%20Period%2017/Response%20Time%20c971e517b4aa4e9b80fb2833672d20e8.md), Person Logging Score (Council%2017/Council%20Period%2017/Person%20Logging%20Score%20f755f00c6e03465e8e5d0fa25123367f.md), Interaction Logging Score (Council%2017/Council%20Period%2017/Interaction%20Logging%20Score%20eed86a695e6b471aac79b1653f792ed9.md), Bounty Management Score (Council%2017/Council%20Period%2017/Bounty%20Management%20Score%20c89e4427370e4c8ea12feef5d21ab3ce.md)",Network Performance Score (Council%2017/Council%20Period%2017/Network%20Performance%20Score%207931bc831fa94a96a5ff1b373243c067.md),"Composite Grade, Master Score",Not Completed
Marketing Score,Marketing,MARKETER_SCORE,,,,,Master Score,Not Completed
Storage Score,Storage,STORAGE_SCORE,,,"Uploads (Council%2017/Council%20Period%2017/Uploads%20ddf03809caf54a558524813eb9b49813.md), General WG Score (Council%2017/Council%20Period%2017/General%20WG%20Score%20bb674e96041142cdb8213a997aaadf41.md), System (Council%2017/Council%20Period%2017/System%2021f6d1ce7c364a89a2c6cf428b8ddc95.md), Storage Report (Council%2017/Council%20Period%2017/Storage%20Report%204be3a50504224cdba05bc5e5c5613e0c.md), Logging (Council%2017/Council%20Period%2017/Logging%204eaae142293946a58e8930f4f16ae79e.md)",Network Performance Score (Council%2017/Council%20Period%2017/Network%20Performance%20Score%207931bc831fa94a96a5ff1b373243c067.md),"Composite Grade, Master Score",Not Completed
General WG Score,Content,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2017/Council%20Period%2017/WG%20Opportunities%20622cf26580614023a2c3d869cc27eff7.md), WG Summary (Council%2017/Council%20Period%2017/WG%20Summary%2065116c36f15a4ba3851f34671ce497ac.md), WG Period Plan (Council%2017/Council%20Period%2017/WG%20Period%20Plan%20c59f2e7935734010b8b37829192f073d.md), Opening Score (Council%2017/Council%20Period%2017/Opening%20Score%20d86701c8467548009f3a2360768426ee.md), Bounty Score (Council%2017/Council%20Period%2017/Bounty%20Score%2065fb8246bd104f3b9830576bc2b17276.md)",Content Score (Council%2017/Council%20Period%2017/Content%20Score%2020f580e98b0a4d8f81cc0bde1e1b945c.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Distributors,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2017/Council%20Period%2017/WG%20Period%20Plan%2003a99a2ae06449d6bf87417f52f4d152.md), WG Summary (Council%2017/Council%20Period%2017/WG%20Summary%20f7f93652e25349f098f33ab326531cc6.md), WG Opportunities (Council%2017/Council%20Period%2017/WG%20Opportunities%2074b8058da4074f39bf186004efe4b354.md), Opening Score (Council%2017/Council%20Period%2017/Opening%20Score%20ca488aa5b8624859bfd871129e58fb8c.md), Bounty Score (Council%2017/Council%20Period%2017/Bounty%20Score%207442b988d8b44534945a246adb54309b.md)",Distributor Score (Council%2017/Council%20Period%2017/Distributor%20Score%2018057ffdc9ec4de7b9e4a1d8a2a9115a.md),"Composite Grade, General WG Score",Not Completed
