Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2018/Council%20Period%2017/Builder%20Score%205db2bbce8e8c49938f93621da70e2208.md), Content Score (Council%2018/Council%20Period%2017/Content%20Score%20845967896c6c4c588b7f6715c3503e2b.md), Distributor Score (Council%2018/Council%20Period%2017/Distributor%20Score%20d02db64e54e74be4b7666e61f57ecd03.md), Storage Score (Council%2018/Council%20Period%2017/Storage%20Score%20293ee67c2ed34e20ad9a035b227ef98b.md), HR Score (Council%2018/Council%20Period%2017/HR%20Score%20dd81afd83d85420b916e7f1c795573b7.md), Council Period Summary (Council%2018/Council%20Period%2017/Council%20Period%20Summary%20a63a90a712524e898c85f4a0f06100ff.md), Council Period Plan (Council%2018/Council%20Period%2017/Council%20Period%20Plan%205348f753c3a6478690b8ec9acaf9340b.md), Lead Opportunities (Council%2018/Council%20Period%2017/Lead%20Opportunities%2040a63f63d6a341249c804df7d36d0e2e.md), Meeting score (Council%2018/Council%20Period%2017/Meeting%20score%2044224bc7b6d841f093bc147e2ab79ec5.md)",,"Composite Grade, Master Score, Overall Grade",Not Completed
Forum Score,Forum,FORUM_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2018/Council%20Period%2017/Forum%20Report%20bd13a3129fc14e3189bc26275af952ed.md), General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%20d5b39d06f8a141c5b0c9a76d50372425.md), Moderation Score (Council%2018/Council%20Period%2017/Moderation%20Score%204c2684f858924438a07d238f6427eeb1.md), General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%206557ed3e2d764877b3d9223e161ed0ba.md)",,"Composite Grade, Master Score",Not Completed
Builder Score,Builders,BUILDER_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%207d1eca46d57c4e9b86b649ed8b72dd52.md), Builders Report (Council%2018/Council%20Period%2017/Builders%20Report%203d3f656d9b82437ba2b9c000fa34e965.md), Testing (Council%2018/Council%20Period%2017/Testing%205104931eae2841e1922e43e9aef09d11.md), Pioneer Development (Council%2018/Council%20Period%2017/Pioneer%20Development%2090a2c08bd547493382ad424a099c80ba.md), General Development (Council%2018/Council%20Period%2017/General%20Development%20babe4dc5dcf04dc292cdcfc645c1d589.md)",Network Performance Score (Council%2018/Council%20Period%2017/Network%20Performance%20Score%201d66bd415c70454692124761fee46347.md),"Composite Grade, Master Score",Not Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2018/Council%20Period%2017/System%2002ab1344ddce47289e7b3c50da79f752.md), General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%20b6447170e888446c861b307ad89fa1c5.md), Distributors Report (Council%2018/Council%20Period%2017/Distributors%20Report%202a16cd3ea0a54cb8b6c0a31948dd4a9a.md)",Network Performance Score (Council%2018/Council%20Period%2017/Network%20Performance%20Score%201d66bd415c70454692124761fee46347.md),"Composite Grade, Master Score",Not Completed
Content Score,Content,CONTENT_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%2056ddf72e66cf4735af0e4284c76a05d4.md), Content Report (Council%2018/Council%20Period%2017/Content%20Report%20726b8413bbbc495ba9a8b553b76a1d7c.md), Featuring Score (Council%2018/Council%20Period%2017/Featuring%20Score%202223a402a9454843ad0ea9329a972e63.md), Moderation Score (Council%2018/Council%20Period%2017/Moderation%20Score%2042b29bbdc842460393bd5f7ee868d200.md), Logging does not occur (Council%2018/Council%20Period%2017/Logging%20does%20not%20occur%20efc14e581a494818af9b2ff91a4de563.md), Featured Content Unplayable (Council%2018/Council%20Period%2017/Featured%20Content%20Unplayable%206dae70cc47b24e2fa5ea9349a6a12a93.md), Failure to apply moderation rules (Council%2018/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%201297218234e640f1a075297292a6add9.md), Curation Testing Score (Council%2018/Council%20Period%2017/Curation%20Testing%20Score%20d31774dbb06442f280e54f6a114cfbf9.md)",Network Performance Score (Council%2018/Council%20Period%2017/Network%20Performance%20Score%201d66bd415c70454692124761fee46347.md),"Composite Grade, Master Score",Not Completed
HR Score,HR,HR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%20a2440aecb3aa4a5a8d10e20f0b5479e5.md), HR Report (Council%2018/Council%20Period%2017/HR%20Report%202f26adf87e344641833d0e95e3ee15fa.md), Response Time (Council%2018/Council%20Period%2017/Response%20Time%2067cd96d2707942ec9fe7039d2b084e11.md), Person Logging Score (Council%2018/Council%20Period%2017/Person%20Logging%20Score%2082b142e1e1774bff8b9a3717c7d002ef.md), Interaction Logging Score (Council%2018/Council%20Period%2017/Interaction%20Logging%20Score%20311d1270309e4da2b69847bff5202769.md), Bounty Management Score (Council%2018/Council%20Period%2017/Bounty%20Management%20Score%2068a10ae8f1014bb6bd27d61151d0efdd.md)",Network Performance Score (Council%2018/Council%20Period%2017/Network%20Performance%20Score%201d66bd415c70454692124761fee46347.md),"Composite Grade, Master Score",Not Completed
Marketing Score,Marketing,MARKETER_SCORE,,,,,Master Score,Not Completed
Storage Score,Storage,STORAGE_SCORE,,,"Uploads (Council%2018/Council%20Period%2017/Uploads%2024719c2a0b974408894d6eca3860a481.md), General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%20d21d35f2032d4adf9ea3ce810c08a3cc.md), System (Council%2018/Council%20Period%2017/System%2090835e83735c4b92b018dd73523c2a34.md), Storage Report (Council%2018/Council%20Period%2017/Storage%20Report%20db41aff72fa24d6186145f1bd8debe09.md), Logging (Council%2018/Council%20Period%2017/Logging%204c357d271b644b47bd68a9b4a0df6b14.md)",Network Performance Score (Council%2018/Council%20Period%2017/Network%20Performance%20Score%201d66bd415c70454692124761fee46347.md),"Composite Grade, Master Score",Not Completed
General WG Score,HR,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2018/Council%20Period%2017/WG%20Period%20Plan%207db115d402394d6da16bb01a1903fab5.md), WG Summary (Council%2018/Council%20Period%2017/WG%20Summary%20a7ab6e895f344a469021ad66f4763b33.md), WG Opportunities (Council%2018/Council%20Period%2017/WG%20Opportunities%208190d886c7c94e9987a12a31517dbf39.md), Opening Score (Council%2018/Council%20Period%2017/Opening%20Score%207724c2efadf742d3a1ccaebef016d0ff.md), Bounty Score (Council%2018/Council%20Period%2017/Bounty%20Score%20b87f38253e184256b1f7dfeec7eddf91.md)",HR Score (Council%2018/Council%20Period%2017/HR%20Score%20dd81afd83d85420b916e7f1c795573b7.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%2018/Council%20Period%2017/WG%20Summary%20d3955af114e94135b54969837d73877e.md), WG Period Plan (Council%2018/Council%20Period%2017/WG%20Period%20Plan%2024f5fe8bb1ce4a86b78318a8e934aa63.md), WG Opportunities (Council%2018/Council%20Period%2017/WG%20Opportunities%209da227fd80ea4cec9e87d6465a7fd353.md), Opening Score (Council%2018/Council%20Period%2017/Opening%20Score%2018fe06fd67ab4751816b5f5f04273d42.md), Bounty Score (Council%2018/Council%20Period%2017/Bounty%20Score%20619f9a1d7cdc4738a1528412fe7cc257.md)",Storage Score (Council%2018/Council%20Period%2017/Storage%20Score%20293ee67c2ed34e20ad9a035b227ef98b.md),"Composite Grade, General WG Score",Not Completed
