Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
Violation of Content Policy,Catastrophic Errors,,,,Forum,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,Not Completed,,,,,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,,SUMMARY_SCORE,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2072c000e89e634d0184d9ffc6998c2d14.md),,,,No,,
System,"Grade, Group Specific Scores, Spot Check, Subscore",,,SYSTEM_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,Not Completed,,,Distributor Score (Council%2019/Council%20Period%2017/Distributor%20Score%20dfff6ee367d64cbf9d0f8c24dffc424a.md),,,,No,,
Total $tJOY exceeds tJOY_BUDGET,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,Not Completed,,,,,,,No,,
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,Not Completed,,,Content Score (Council%2019/Council%20Period%2017/Content%20Score%201a936184f4eb42a4bcceb16d4eee331b.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Storage,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2039b61166d99d4112aa54086f69f80222.md),,,,No,,
Marketing Report,"Document, Forum Post, Proposal, Report",,,REPORT_SCORE,Marketing,,Not Completed,,,,,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",,,PLAN_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2039b61166d99d4112aa54086f69f80222.md),,,,No,,
Featuring Score,"Group Specific Scores, Subscore",,,FEATURING_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,Not Completed,,,Content Score (Council%2019/Council%20Period%2017/Content%20Score%201a936184f4eb42a4bcceb16d4eee331b.md),,,,No,,
Network Performance Score,"Composite Grade, Master Score, Overall Grade",,,NETWORK_PERFORMANCE_SCORE,Network,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,Not Completed,,,,,,,No,,"Builder Score (Council%2019/Council%20Period%2017/Builder%20Score%20e18ea83757e740d48d03c22829427897.md), Content Score (Council%2019/Council%20Period%2017/Content%20Score%201a936184f4eb42a4bcceb16d4eee331b.md), Distributor Score (Council%2019/Council%20Period%2017/Distributor%20Score%20dfff6ee367d64cbf9d0f8c24dffc424a.md), Storage Score (Council%2019/Council%20Period%2017/Storage%20Score%20c380557551ae497abf7eba1f35e5f4e0.md), HR Score (Council%2019/Council%20Period%2017/HR%20Score%20d461a7496128435781b4bba579ae6c47.md), Council Period Summary (Council%2019/Council%20Period%2017/Council%20Period%20Summary%200fee57c14c7147d5ba77749af0fceaee.md), Council Period Plan (Council%2019/Council%20Period%2017/Council%20Period%20Plan%209cb19e2bd47f4644b2821f4b002b9c2a.md), Lead Opportunities (Council%2019/Council%20Period%2017/Lead%20Opportunities%2048dd3ca5dd74421c85d967b2285c37be.md), Meeting score (Council%2019/Council%20Period%2017/Meeting%20score%203a02053822a64f5db4f4c686ee253ff9.md)"
Uploads,"Grade, Group Specific Scores, Subscore",,,UPLOAD_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,Not Completed,,,Storage Score (Council%2019/Council%20Period%2017/Storage%20Score%20c380557551ae497abf7eba1f35e5f4e0.md),,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,https://dao.joystream.org/#/forum/category/12,SUMMARY_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2016d685191f14470880431e1e0f3bac24.md),,,,No,,
Storage Score,"Composite Grade, Master Score",,,STORAGE_SCORE,Storage,,Not Completed,,,Network Performance Score (Council%2019/Council%20Period%2017/Network%20Performance%20Score%20991b4d2a715d43ebab0d39e3e837c8ee.md),,,,No,,"Uploads (Council%2019/Council%20Period%2017/Uploads%20c264692f75614b1fab1bae3cd60bbea3.md), General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2039b61166d99d4112aa54086f69f80222.md), System (Council%2019/Council%20Period%2017/System%2025ddd1cda81f46e591794433fcc91ed0.md), Storage Report (Council%2019/Council%20Period%2017/Storage%20Report%2096013fa8164f4e57ad1dbf2012f44cd1.md), Logging (Council%2019/Council%20Period%2017/Logging%20368b8070443c42aebf66c5d38ecfa034.md)"
Distributors Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",,https://dao.joystream.org/#/forum/category/15,REPORT_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,Not Completed,"Untitled (https://www.notion.so/e4ea2a85b1a84f88ba97c3580f685a09?pvs=21) ",,Distributor Score (Council%2019/Council%20Period%2017/Distributor%20Score%20dfff6ee367d64cbf9d0f8c24dffc424a.md),,,,No,,
Unwarranted deletion,Catastrophic Errors,,,,Forum,,Not Completed,,,,,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",https://dao.joystream.org/#/forum/thread/47?post=640,https://dao.joystream.org/#/forum/thread/47,PLAN_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2016d685191f14470880431e1e0f3bac24.md),,,,No,,
Interaction Logging Score,"Group Specific Scores, Subscore",,,INTERACTION_LOGGING_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,Not Completed,,,HR Score (Council%2019/Council%20Period%2017/HR%20Score%20d461a7496128435781b4bba579ae6c47.md),,,,No,,
On chain Budget and Opening proposals without JOY equivalent,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,Not Completed,,,,,,,No,,
HR Report,"Group Specific Scores, Subscore",,,REPORT_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,Not Completed,,,HR Score (Council%2019/Council%20Period%2017/HR%20Score%20d461a7496128435781b4bba579ae6c47.md),,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",,,PLAN_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%20b55a769269294bcabb8fa8d37bd138ce.md),,,,No,,
Lead Opportunities,"Grade, Master Score",,,LEAD_OPPORTUNITIES_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,Not Completed,,,Network Performance Score (Council%2019/Council%20Period%2017/Network%20Performance%20Score%20991b4d2a715d43ebab0d39e3e837c8ee.md),,,,No,,
Builders Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",,,REPORT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,Not Completed,,,Builder Score (Council%2019/Council%20Period%2017/Builder%20Score%20e18ea83757e740d48d03c22829427897.md),,,,No,,
Marketing Score,Master Score,,,MARKETER_SCORE,Marketing,,Not Completed,,,,,,,No,,
Member Faucet Empty,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,Not Completed,,,,,,,No,,
Documentation Score,"Grade, Subscore",,,DOCUMENTATION_SCORE,Marketing,,Not Completed,,,,,,,No,,
