Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Not Completed,,,HR Score (Council%2020/Council%20Period%2017/HR%20Score%20bb1c661e06254049b4005657e614e114.md),,,,No,,"WG Period Plan (Council%2020/Council%20Period%2017/WG%20Period%20Plan%20adf8d988e0d24eff85faa69fc80b4d7c.md), WG Summary (Council%2020/Council%20Period%2017/WG%20Summary%200b9b261cef8d4c779d90283943d55f4a.md), WG Opportunities (Council%2020/Council%20Period%2017/WG%20Opportunities%206f1ccb1fedf644e8b606ac15ac3540b4.md), Opening Score (Council%2020/Council%20Period%2017/Opening%20Score%20ed0577e70d094d458baf4c93f864b421.md), Bounty Score (Council%2020/Council%20Period%2017/Bounty%20Score%2003151f68db9f47b3bcae7c0d99688f08.md)"
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,Not Completed,,,Content Score (Council%2020/Council%20Period%2017/Content%20Score%2098ae118323ba491991e86bb1f23e7c89.md),,,,No,,
Council Period Summary,"Document, Forum Post, Grade, Master Score, Proposal",,https://dao.joystream.org/#/forum/category/4,SUMMARY_SCORE,Council,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,Not Completed,,,Network Performance Score (Council%2020/Council%20Period%2017/Network%20Performance%20Score%200ddf3e715ab04736b0cc1d42c2e7c02c.md),,,,No,,
Unwarranted deletion,Catastrophic Errors,,,,Forum,,Not Completed,,,,,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",,,PLAN_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2020/Council%20Period%2017/General%20WG%20Score%20e7764af658e0417cbc62a524ddfce242.md),,,,No,,
Documentation Score,"Grade, Subscore",,,DOCUMENTATION_SCORE,Marketing,,Not Completed,,,,,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",https://dao.joystream.org/#/forum/thread/47?post=640,https://dao.joystream.org/#/forum/thread/47,PLAN_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2020/Council%20Period%2017/General%20WG%20Score%20804730bc893a4fd8bcc6de2cc9f1f11c.md),,,,No,,
General WG Score,"Composite Grade, General WG Score, Subscore",,,GENERAL_WG_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,Not Completed,,,Builder Score (Council%2020/Council%20Period%2017/Builder%20Score%209950d97dc9d6440e800b8e416ae7ff18.md),,,,No,,"WG Period Plan (Council%2020/Council%20Period%2017/WG%20Period%20Plan%20553702ddc14845ae9d6f970330205d18.md), WG Summary (Council%2020/Council%20Period%2017/WG%20Summary%202b6e89b5a57e407aa0a835fac11723c4.md), WG Opportunities (Council%2020/Council%20Period%2017/WG%20Opportunities%201a7be201799e460f82a7ec10c19861fd.md), Opening Score (Council%2020/Council%20Period%2017/Opening%20Score%20ed2ce3ee2c6b4a64b1dcf9385f63e0e3.md), Bounty Score (Council%2020/Council%20Period%2017/Bounty%20Score%20b02648b13ee349f69cd4570adf2c62fb.md)"
Content Score,"Composite Grade, Master Score",,,CONTENT_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,Not Completed,,,Network Performance Score (Council%2020/Council%20Period%2017/Network%20Performance%20Score%200ddf3e715ab04736b0cc1d42c2e7c02c.md),,,,No,,"General WG Score (Council%2020/Council%20Period%2017/General%20WG%20Score%20e7764af658e0417cbc62a524ddfce242.md), Content Report (Council%2020/Council%20Period%2017/Content%20Report%20ad5c28db9eba4f299650efe95d962e61.md), Featuring Score (Council%2020/Council%20Period%2017/Featuring%20Score%203b03bbce3c0143929923f7e64982f36d.md), Moderation Score (Council%2020/Council%20Period%2017/Moderation%20Score%20a5b3694b955b4d18a6e56190d42b3ece.md), Logging does not occur (Council%2020/Council%20Period%2017/Logging%20does%20not%20occur%2009854485b66e4e0c8a8ca17ab43a75c1.md), Featured Content Unplayable (Council%2020/Council%20Period%2017/Featured%20Content%20Unplayable%2044ad90447369419880c0c613a47c5196.md), Failure to apply moderation rules (Council%2020/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%207766e4ae44d942d2b6b68ae2d044dc1f.md), Curation Testing Score (Council%2020/Council%20Period%2017/Curation%20Testing%20Score%2012dc1cdccbe0459aafb44cd607010f45.md)"
Violation of Content Policy,Catastrophic Errors,,,,Forum,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,Not Completed,,,,,,,No,,
