Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2021/Council%20Period%2017/Builder%20Score%20eb28116529474ccca2fe96572798b055.md), Content Score (Council%2021/Council%20Period%2017/Content%20Score%207803dc73d4f74f2d8110548f8bd91c86.md), Distributor Score (Council%2021/Council%20Period%2017/Distributor%20Score%20440ac3bc6398466a8e120330b8b7a922.md), Storage Score (Council%2021/Council%20Period%2017/Storage%20Score%20bd78402a34fc4e3aa16f90c56db64574.md), HR Score (Council%2021/Council%20Period%2017/HR%20Score%207bb079bec3cf4e4ca334f51a99cf9951.md), Council Period Summary (Council%2021/Council%20Period%2017/Council%20Period%20Summary%2006adfbd5c034452ca2562cde5b0aa3c6.md), Council Period Plan (Council%2021/Council%20Period%2017/Council%20Period%20Plan%20d29de5f933ce4f0d946215938cce5a8c.md), Lead Opportunities (Council%2021/Council%20Period%2017/Lead%20Opportunities%2086810f86843d4a72a7aef080f4912f68.md), Meeting score (Council%2021/Council%20Period%2017/Meeting%20score%2009c2b893cf024b63b4c803be829d1a80.md)",,"Composite Grade, Master Score, Overall Grade",Not Completed
Forum Score,Forum,FORUM_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2021/Council%20Period%2017/Forum%20Report%20dad28faf193b4c948499470e20bc72fb.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20b0a096bdbba349d48427527695e60405.md), Moderation Score (Council%2021/Council%20Period%2017/Moderation%20Score%202b26124226b04c3ea4c3064db6dd5269.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20cee0cc643d944d34a7d45a3beede7b8e.md)",,"Composite Grade, Master Score",Not Completed
Builder Score,Builders,BUILDER_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%200367cf77db8e49cb989f9438f02e0144.md), Builders Report (Council%2021/Council%20Period%2017/Builders%20Report%2087e0b477f64d4e89a7e564599945360a.md), Testing (Council%2021/Council%20Period%2017/Testing%20d0b58a2cc9474ceb81b611cbff72bf23.md), Pioneer Development (Council%2021/Council%20Period%2017/Pioneer%20Development%20b90690470c19458ba5db67051fe4f8b6.md), General Development (Council%2021/Council%20Period%2017/General%20Development%20f44da56e993b45ca92d72dc2d8733965.md)",Network Performance Score (Council%2021/Council%20Period%2017/Network%20Performance%20Score%202dcdb268a15b464cbbf7d75f1c9654e2.md),"Composite Grade, Master Score",Not Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2021/Council%20Period%2017/System%205867d2a38ade41cd91ea54f2b786e246.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%201b76731bdc864035b9d49b07fceb8d53.md), Distributors Report (Council%2021/Council%20Period%2017/Distributors%20Report%209d6ac74fc2d54c249c3361fe5b0d4e0c.md)",Network Performance Score (Council%2021/Council%20Period%2017/Network%20Performance%20Score%202dcdb268a15b464cbbf7d75f1c9654e2.md),"Composite Grade, Master Score",Not Completed
Content Score,Content,CONTENT_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%2035a1074b057446808308068488d0b999.md), Content Report (Council%2021/Council%20Period%2017/Content%20Report%208d3009f1a8544881827d34bf393ae465.md), Featuring Score (Council%2021/Council%20Period%2017/Featuring%20Score%202e8ff8470fff4769835b8b1a6ec29850.md), Moderation Score (Council%2021/Council%20Period%2017/Moderation%20Score%208bb7f7d7fadd45d3a7e5ac98831d8dd0.md), Logging does not occur (Council%2021/Council%20Period%2017/Logging%20does%20not%20occur%209a63587eff0b4603ad19240a411b8f5d.md), Featured Content Unplayable (Council%2021/Council%20Period%2017/Featured%20Content%20Unplayable%20b0499a595977419694e2d9dab793da11.md), Failure to apply moderation rules (Council%2021/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%20ca7214f1e8944f6a919dce2326b86eb6.md), Curation Testing Score (Council%2021/Council%20Period%2017/Curation%20Testing%20Score%20c50464662ab544c3acf926a9bf345f2e.md)",Network Performance Score (Council%2021/Council%20Period%2017/Network%20Performance%20Score%202dcdb268a15b464cbbf7d75f1c9654e2.md),"Composite Grade, Master Score",Not Completed
HR Score,HR,HR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20013008c6907b4c58b3b9535d85c996e2.md), HR Report (Council%2021/Council%20Period%2017/HR%20Report%209d74b0c423cb4be0b2b5958b0535d1bf.md), Response Time (Council%2021/Council%20Period%2017/Response%20Time%20bf2fa933a25747b39f76a6a88acf4cee.md), Person Logging Score (Council%2021/Council%20Period%2017/Person%20Logging%20Score%205ac1627869f045909f5304862123a3ab.md), Interaction Logging Score (Council%2021/Council%20Period%2017/Interaction%20Logging%20Score%201c6ac0fb4fc54c048e0c9a45517dab4f.md), Bounty Management Score (Council%2021/Council%20Period%2017/Bounty%20Management%20Score%20248c3a5403f04c1b99f2c3fb34bb06f3.md)",Network Performance Score (Council%2021/Council%20Period%2017/Network%20Performance%20Score%202dcdb268a15b464cbbf7d75f1c9654e2.md),"Composite Grade, Master Score",Not Completed
Marketing Score,Marketing,MARKETER_SCORE,,,,,Master Score,Not Completed
Storage Score,Storage,STORAGE_SCORE,,,"Uploads (Council%2021/Council%20Period%2017/Uploads%20adb7a96885804ad39436133f499427c2.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%208a927a87b3f849028adecd73009fa7f9.md), System (Council%2021/Council%20Period%2017/System%20a89856520c1a44afa5b9d7cb32ca03c4.md), Storage Report (Council%2021/Council%20Period%2017/Storage%20Report%20c500b6c0d7fd433b99f0134d5d362717.md), Logging (Council%2021/Council%20Period%2017/Logging%20b3fac378366b42a69a6e4fde1bb7350e.md)",Network Performance Score (Council%2021/Council%20Period%2017/Network%20Performance%20Score%202dcdb268a15b464cbbf7d75f1c9654e2.md),"Composite Grade, Master Score",Not Completed
General WG Score,Content,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2021/Council%20Period%2017/WG%20Opportunities%2041713e90c51f421399fc7d68646940b2.md), WG Summary (Council%2021/Council%20Period%2017/WG%20Summary%20c6c8feede106436689c71b8fce0cc607.md), WG Period Plan (Council%2021/Council%20Period%2017/WG%20Period%20Plan%20d8dc76899ca0452c8ab23ad75fb01058.md), Opening Score (Council%2021/Council%20Period%2017/Opening%20Score%20390516880f714454b246b09578351d95.md), Bounty Score (Council%2021/Council%20Period%2017/Bounty%20Score%203814836a4439461184bffcb6e2415025.md)",Content Score (Council%2021/Council%20Period%2017/Content%20Score%207803dc73d4f74f2d8110548f8bd91c86.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Marketing,GENERAL_WG_SCORE,,,"WG Summary (Council%2021/Council%20Period%2017/WG%20Summary%2088af113496a742b69de3c2a81c6b4359.md), WG Opportunities (Council%2021/Council%20Period%2017/WG%20Opportunities%2077e90e78ee75411f9a84f4f89e82796f.md), Opening Score (Council%2021/Council%20Period%2017/Opening%20Score%20ce4620cc9d1f49ba99098bf5da73d281.md), Bounty Score (Council%2021/Council%20Period%2017/Bounty%20Score%201cdf20e121f34a2087cb473719ff453e.md), WG Period Plan (Council%2021/Council%20Period%2017/WG%20Period%20Plan%20275363b2ef114446abbb7ca4176d5658.md), WG Summary (Council%2021/Council%20Period%2017/WG%20Summary%200fffe4592b444dd0ba1f5a8603f61134.md), WG Opportunities (Council%2021/Council%20Period%2017/WG%20Opportunities%208e96d4c17f124b2da33ec292bac2e83a.md), Bounty Score (Council%2021/Council%20Period%2017/Bounty%20Score%201065b2d81106491689e8a4555434f7ae.md), Opening Score (Council%2021/Council%20Period%2017/Opening%20Score%20632afc2194284364b719b08b70895784.md)",Forum Score (Council%2021/Council%20Period%2017/Forum%20Score%205545285c8b1340a1ab98db0a10c7f64a.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%2021/Council%20Period%2017/WG%20Summary%20bc99b33a488e400bb66567d61486d5e2.md), WG Period Plan (Council%2021/Council%20Period%2017/WG%20Period%20Plan%2018a8e17550534836b52da149a8c8d1b1.md), WG Opportunities (Council%2021/Council%20Period%2017/WG%20Opportunities%20daa9a8a11f3047f995df240dec3035d3.md), Opening Score (Council%2021/Council%20Period%2017/Opening%20Score%20b9589afb3e4a44efb89312e5cb5cd02f.md), Bounty Score (Council%2021/Council%20Period%2017/Bounty%20Score%20e7ac1735a95a4250a137b7986a0b3264.md)",Storage Score (Council%2021/Council%20Period%2017/Storage%20Score%20bd78402a34fc4e3aa16f90c56db64574.md),"Composite Grade, General WG Score",Not Completed
