Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2023/Council%20Period%2017/Builder%20Score%200a2f48ee46784a379341c5a839006802.md), Content Score (Council%2023/Council%20Period%2017/Content%20Score%2090dc2d956c17457ab4d4da63d5eb8274.md), Distributor Score (Council%2023/Council%20Period%2017/Distributor%20Score%20df59e5050c04432ea5f0f848bf50d6a1.md), Storage Score (Council%2023/Council%20Period%2017/Storage%20Score%20397a214058b0430fa24415c31f3981f2.md), HR Score (Council%2023/Council%20Period%2017/HR%20Score%20580b1d720c99440da33e9c6a559628e2.md), Council Period Summary (Council%2023/Council%20Period%2017/Council%20Period%20Summary%2076a674a43e92459d86170905bb8a3694.md), Council Period Plan (Council%2023/Council%20Period%2017/Council%20Period%20Plan%20fc5392b9034d40dea89ff515bf00e87c.md), Lead Opportunities (Council%2023/Council%20Period%2017/Lead%20Opportunities%2082a4b00409e34a76824ca750616999a0.md), Meeting score (Council%2023/Council%20Period%2017/Meeting%20score%20dfba9e320b7a4de0a76a275b52a622c0.md)",,"Composite Grade, Master Score, Overall Grade",Not Completed
Forum Score,Forum,FORUM_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2023/Council%20Period%2017/Forum%20Report%208dbe4138c2964b7dba17ede778e28dd8.md), General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20edbf8275049f43109753aef4533b3a7b.md), Moderation Score (Council%2023/Council%20Period%2017/Moderation%20Score%2002959bfd10fb4b1abe508611f21f60db.md), General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2036972e434a2f4cac9557bf51024cac77.md)",,"Composite Grade, Master Score",Not Completed
Builder Score,Builders,BUILDER_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%209fdd606b269f4e599ac51a0998b33614.md), Builders Report (Council%2023/Council%20Period%2017/Builders%20Report%2071f3be6a4bbe48ed81cb4952af347eac.md), Testing (Council%2023/Council%20Period%2017/Testing%2087ac35cc325f4415a51af321ede56b45.md), Pioneer Development (Council%2023/Council%20Period%2017/Pioneer%20Development%204e7b337bf11147008619eda22634a375.md), General Development (Council%2023/Council%20Period%2017/General%20Development%208e4517dd8a194016af8d7c6472cc3015.md)",Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),"Composite Grade, Master Score",Not Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2023/Council%20Period%2017/System%20df0b38b0a1834c629db7576a100cfdd2.md), General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20f53e36ec9c304ee3a8af2889b0667de8.md), Distributors Report (Council%2023/Council%20Period%2017/Distributors%20Report%20eaa4257d45a146b9b956c733754f2c29.md)",Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),"Composite Grade, Master Score",Not Completed
Content Score,Content,CONTENT_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20316dca56505a4e7bb73ee550b76e3bc9.md), Content Report (Council%2023/Council%20Period%2017/Content%20Report%20c0fb07ce60fe4b3bac5afcec8ceffcfd.md), Featuring Score (Council%2023/Council%20Period%2017/Featuring%20Score%20b6e62c2c2c5047148a307e9e388a6f14.md), Moderation Score (Council%2023/Council%20Period%2017/Moderation%20Score%20e9f8e61a8a084677b95e1fb21ffea3d1.md), Logging does not occur (Council%2023/Council%20Period%2017/Logging%20does%20not%20occur%20e62a6bd964c54fb48508e0b6b9c7f6be.md), Featured Content Unplayable (Council%2023/Council%20Period%2017/Featured%20Content%20Unplayable%208d706c2f6cb04905a7a98f6a5ba038bc.md), Failure to apply moderation rules (Council%2023/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%202190bc537ded4e6ea8b0aea1f26b0f07.md), Curation Testing Score (Council%2023/Council%20Period%2017/Curation%20Testing%20Score%2072e11dcf29c046ec9e155a38f3e8d93c.md)",Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),"Composite Grade, Master Score",Not Completed
HR Score,HR,HR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2098231fe7639744ff924d622f5d28dd1f.md), HR Report (Council%2023/Council%20Period%2017/HR%20Report%20667932313edf431d920c95428ab86d91.md), Response Time (Council%2023/Council%20Period%2017/Response%20Time%20fc883d0e2477477ea9a14cde20fe99ab.md), Person Logging Score (Council%2023/Council%20Period%2017/Person%20Logging%20Score%20917750276c604ce7b5745410414b288e.md), Interaction Logging Score (Council%2023/Council%20Period%2017/Interaction%20Logging%20Score%204a09933aecbd4db7b986780236074d49.md), Bounty Management Score (Council%2023/Council%20Period%2017/Bounty%20Management%20Score%2034d6c83e66c540c991924f0eef044dc0.md)",Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),"Composite Grade, Master Score",Not Completed
Marketing Score,Marketing,MARKETER_SCORE,,,,,Master Score,Not Completed
Storage Score,Storage,STORAGE_SCORE,,,"Uploads (Council%2023/Council%20Period%2017/Uploads%20017f056033114a74a2eca5c2cb763122.md), General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%205ca0e617cd334e10809c31442dcbd00a.md), System (Council%2023/Council%20Period%2017/System%20768ad71a87c744ada79bacf635274e6c.md), Storage Report (Council%2023/Council%20Period%2017/Storage%20Report%20d32db206f93f40c495999b0eb61be73c.md), Logging (Council%2023/Council%20Period%2017/Logging%20e2c1beaa8574417ca24bf235a5262099.md)",Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),"Composite Grade, Master Score",Not Completed
General WG Score,Marketing,GENERAL_WG_SCORE,,,"WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%20755062616a234ca1948a4de6479b8aa0.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%2095a5766ea9424da98ab0dab2a2014b5c.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%202f0bf451d314467b9bfe4b7b7fa89d3e.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%205fd3f37020db4e5585d4f16b13ead9eb.md), WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%20582f5dded45f4554ac6fa993cfd2db1a.md), WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%209213f2d28a3e4902a818ffea22c05cbf.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%20aea5cbfd7efc48549fc7e72504c06623.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%20d20662db62d24bd7b023dcd192a9eb24.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%203e60d6a516b34dd09911dd5f15ad1f7d.md)",Forum Score (Council%2023/Council%20Period%2017/Forum%20Score%2058f03bfb7c2a40a7997d36bba376de50.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Forum,GENERAL_WG_SCORE,,,"WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%203a34be48f5ca49d6b2caa30aa7cd5763.md), WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%20755062616a234ca1948a4de6479b8aa0.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%2095a5766ea9424da98ab0dab2a2014b5c.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%202f0bf451d314467b9bfe4b7b7fa89d3e.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%205fd3f37020db4e5585d4f16b13ead9eb.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%20aea5cbfd7efc48549fc7e72504c06623.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%20d20662db62d24bd7b023dcd192a9eb24.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%203e60d6a516b34dd09911dd5f15ad1f7d.md)",Forum Score (Council%2023/Council%20Period%2017/Forum%20Score%2058f03bfb7c2a40a7997d36bba376de50.md),"Composite Grade, General WG Score",Not Completed
