Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Not Completed,,,HR Score (Council%2023/Council%20Period%2017/HR%20Score%20580b1d720c99440da33e9c6a559628e2.md),,,,No,,"WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%20172f9b2d38a84b908f92a55b1ee99f90.md), WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%208660c5c91d6649028fc30b5515e353fd.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%20baa60d3f10564ff49ca253ed71278e2d.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%20d52001c9619145d4a46732dbd1f97c29.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%2009a4efd98ca4485d973c7cbcd336d33c.md)"
Council Period Parameters,,,,,JSG,,Not Completed,,,,,,,No,,
Council Period Summary,"Document, Forum Post, Grade, Master Score, Proposal",,https://dao.joystream.org/#/forum/category/4,SUMMARY_SCORE,Council,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,Not Completed,,,Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),,,,No,,
General WG Score,"Composite Grade, General WG Score, Subscore",,,GENERAL_WG_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,Not Completed,,,Builder Score (Council%2023/Council%20Period%2017/Builder%20Score%200a2f48ee46784a379341c5a839006802.md),,,,No,,"WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%20083dbebbe64c4775b83daf001bd9ea54.md), WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%20f1ab722358a04df989f0ff4159d3ca6e.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%205c90b72d60654b6dace144329076662c.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%204274349ee6d94be1828de0b48b238677.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%20caf7f757885348a5852e67dcdc7b7457.md)"
Meeting score,"Forum Post, Master Score",,,MEETING_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,Not Completed,,,Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),,,,No,,
Inadequate Report,Catastrophic Errors,,,,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/marketers-score#inadequate-report,Not Completed,,,,,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,,SUMMARY_SCORE,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2036972e434a2f4cac9557bf51024cac77.md),,,,No,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Marketing,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,"General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20edbf8275049f43109753aef4533b3a7b.md), General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2036972e434a2f4cac9557bf51024cac77.md)",,,,No,,
Marketing Score,Master Score,,,MARKETER_SCORE,Marketing,,Not Completed,,,,,,,No,,
Marketing Report,"Document, Forum Post, Proposal, Report",,,REPORT_SCORE,Marketing,,Not Completed,,,,,,,No,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Not Completed,,,Distributor Score (Council%2023/Council%20Period%2017/Distributor%20Score%20df59e5050c04432ea5f0f848bf50d6a1.md),,,,No,,"WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%20a39e8d5dfcfc4fbeb14ff9143aeff89a.md), WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%209fe1dbc94d5b4bd58ceed6c4f1bf5688.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%20f9ae469625ec4cb2ae4a31475abf4c9e.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%2005a5cd48fab84b01bbd0f2a7fdd9051f.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%20cbd7c023a472475ab446e18a7c8304b3.md)"
