Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2025/Council%20Period%2017/Builder%20Score%2097f2d5f803024cd9a1b85e23cdf2ddb7.md), Content Score (Council%2025/Council%20Period%2017/Content%20Score%20059f031312eb4f2bbd9b21275240e877.md), Distributor Score (Council%2025/Council%20Period%2017/Distributor%20Score%200ff45011ebb44b2e9afef0710fe990b9.md), Storage Score (Council%2025/Council%20Period%2017/Storage%20Score%203bf1ee3d26cd4087b4b0ce442be0a9ea.md), HR Score (Council%2025/Council%20Period%2017/HR%20Score%2014d31e1685cf405db55f7d432fa3721a.md), Council Period Summary (Council%2025/Council%20Period%2017/Council%20Period%20Summary%20e56bc4e8ab5a4814b3054d97e285dca6.md), Council Period Plan (Council%2025/Council%20Period%2017/Council%20Period%20Plan%20d832a0f810de4f06a596965c29e1fb76.md), Lead Opportunities (Council%2025/Council%20Period%2017/Lead%20Opportunities%205fd82959122b4b948563125ad7b9bdc4.md), Meeting score (Council%2025/Council%20Period%2017/Meeting%20score%20fc0ab039b9144257b102f0c07c121bbe.md)",,"Composite Grade, Master Score, Overall Grade",Not Completed
Forum Score,Forum,FORUM_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2025/Council%20Period%2017/Forum%20Report%2057828495840d4bf8b7507ea6bea0c5bf.md), General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%201ba8694baa7b4a02bbd6080866e24aae.md), Moderation Score (Council%2025/Council%20Period%2017/Moderation%20Score%20b7af68035901457882286289388c3ba6.md), General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%203bd013081cde4ced81e868e623ecc9c1.md)",,"Composite Grade, Master Score",Not Completed
Builder Score,Builders,BUILDER_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%202e8f7021827948c59166c5c9b3fc043e.md), Builders Report (Council%2025/Council%20Period%2017/Builders%20Report%2033d805e515ab4b8183e111b037b28762.md), Testing (Council%2025/Council%20Period%2017/Testing%201ba6ab259e154111bf99d802c531657e.md), Pioneer Development (Council%2025/Council%20Period%2017/Pioneer%20Development%20bd3d6eed1c3a4eb6ad50b2370ff1c5dc.md), General Development (Council%2025/Council%20Period%2017/General%20Development%208ff47003681c48a297a258304f04b07d.md)",Network Performance Score (Council%2025/Council%20Period%2017/Network%20Performance%20Score%20c50f14132a0b46e79f6485265eceee9a.md),"Composite Grade, Master Score",Not Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2025/Council%20Period%2017/System%200182ab8aaa9f4f988140aa4009ae4e31.md), General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20c1c348a736cd4f71b58f5945084cd0ed.md), Distributors Report (Council%2025/Council%20Period%2017/Distributors%20Report%20f95c332aa0dc49f983ddf5194b27ba86.md)",Network Performance Score (Council%2025/Council%20Period%2017/Network%20Performance%20Score%20c50f14132a0b46e79f6485265eceee9a.md),"Composite Grade, Master Score",Not Completed
Content Score,Content,CONTENT_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20dd837f8c7c9c434298754e6e9c003ae9.md), Content Report (Council%2025/Council%20Period%2017/Content%20Report%2059bc1a51e12145f0b7b69b7a6974240a.md), Featuring Score (Council%2025/Council%20Period%2017/Featuring%20Score%20b8d392ca86dc441bbf9b13278f2b153e.md), Moderation Score (Council%2025/Council%20Period%2017/Moderation%20Score%2042de01cb95784842847a028b57e7df51.md), Logging does not occur (Council%2025/Council%20Period%2017/Logging%20does%20not%20occur%20dacbb825d1554b7bb0e0f520d0d2a4eb.md), Featured Content Unplayable (Council%2025/Council%20Period%2017/Featured%20Content%20Unplayable%20526258e861024308a684987fad2b664b.md), Failure to apply moderation rules (Council%2025/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%20002e78b5d2454a7793294c8d17202abb.md), Curation Testing Score (Council%2025/Council%20Period%2017/Curation%20Testing%20Score%20dde5c683877240f6942da4b2c8be0c2c.md)",Network Performance Score (Council%2025/Council%20Period%2017/Network%20Performance%20Score%20c50f14132a0b46e79f6485265eceee9a.md),"Composite Grade, Master Score",Not Completed
HR Score,HR,HR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20b3436e8f2696406284bd27cb93fd173b.md), HR Report (Council%2025/Council%20Period%2017/HR%20Report%202d06772bd41d49ee9dc44831e5281413.md), Response Time (Council%2025/Council%20Period%2017/Response%20Time%20b4a7b6d7821c4675b1220ef366d448db.md), Person Logging Score (Council%2025/Council%20Period%2017/Person%20Logging%20Score%204c6e2c6497a9411e9688df1a86f027b6.md), Interaction Logging Score (Council%2025/Council%20Period%2017/Interaction%20Logging%20Score%20a82220dfbe0a46978088daad482530b5.md), Bounty Management Score (Council%2025/Council%20Period%2017/Bounty%20Management%20Score%2019c2db6fe2a74f2f9411f37435bff46b.md)",Network Performance Score (Council%2025/Council%20Period%2017/Network%20Performance%20Score%20c50f14132a0b46e79f6485265eceee9a.md),"Composite Grade, Master Score",Not Completed
Marketing Score,Marketing,MARKETER_SCORE,,,,,Master Score,Not Completed
Storage Score,Storage,STORAGE_SCORE,,,"Uploads (Council%2025/Council%20Period%2017/Uploads%20d1c0060178684864aa47e505e0824194.md), General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20942729f52ab6475b9ab74e15b63de864.md), System (Council%2025/Council%20Period%2017/System%204b45dc4a82844ea9a79e8b70c144cb89.md), Storage Report (Council%2025/Council%20Period%2017/Storage%20Report%204fd3ab337331432eb8491b6e26719ec6.md), Logging (Council%2025/Council%20Period%2017/Logging%2097e38ea1db0d41a3944bd9c765964995.md)",Network Performance Score (Council%2025/Council%20Period%2017/Network%20Performance%20Score%20c50f14132a0b46e79f6485265eceee9a.md),"Composite Grade, Master Score",Not Completed
General WG Score,Builders,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%2025/Council%20Period%2017/WG%20Period%20Plan%206e7fdfe328664dd0930a2a1c80eae1cb.md), WG Summary (Council%2025/Council%20Period%2017/WG%20Summary%2005322388b0e3404b87e550ac6fc834a8.md), WG Opportunities (Council%2025/Council%20Period%2017/WG%20Opportunities%201d9e38b28c7b48269046bc3fdef320b9.md), Opening Score (Council%2025/Council%20Period%2017/Opening%20Score%200933457082224ef0be3b499b171b0229.md), Bounty Score (Council%2025/Council%20Period%2017/Bounty%20Score%2088a53c12f4554b56aa9a1b87c87180de.md)",Builder Score (Council%2025/Council%20Period%2017/Builder%20Score%2097f2d5f803024cd9a1b85e23cdf2ddb7.md),"Composite Grade, General WG Score, Subscore",Not Completed
General WG Score,HR,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2025/Council%20Period%2017/WG%20Period%20Plan%2089cef955e3b24322bd76473a7e667e8a.md), WG Summary (Council%2025/Council%20Period%2017/WG%20Summary%20aad8de2309b340c9a4e34e1bd3bcab48.md), WG Opportunities (Council%2025/Council%20Period%2017/WG%20Opportunities%20f5093819f70b42d3b4edf7df375561f7.md), Opening Score (Council%2025/Council%20Period%2017/Opening%20Score%2038b15a1ba15b4da4b171f81e2f9e87e8.md), Bounty Score (Council%2025/Council%20Period%2017/Bounty%20Score%20d010706d45164cd9ba79514517760a03.md)",HR Score (Council%2025/Council%20Period%2017/HR%20Score%2014d31e1685cf405db55f7d432fa3721a.md),"Composite Grade, General WG Score",Not Completed
