Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
WG Opportunities,"Document, Forum Post, General WG Score, Grade",,,WORKER_OPPORTUNITIES_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,"General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%201ba8694baa7b4a02bbd6080866e24aae.md), General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%203bd013081cde4ced81e868e623ecc9c1.md)",,,,No,,
Content Report,"Forum Post, Group Specific Scores",,,REPORT_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,Not Completed,,,Content Score (Council%2025/Council%20Period%2017/Content%20Score%20059f031312eb4f2bbd9b21275240e877.md),,,,No,,
Council Period Plan,"Document, Forum Post, Grade, Master Score, Proposal",,https://dao.joystream.org/#/forum/category/4,PLAN_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,Not Completed,,,Network Performance Score (Council%2025/Council%20Period%2017/Network%20Performance%20Score%20c50f14132a0b46e79f6485265eceee9a.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Storage,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20942729f52ab6475b9ab74e15b63de864.md),,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",,,PLAN_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20b3436e8f2696406284bd27cb93fd173b.md),,,,No,,
Missing Judgement,"Catastrophic Errors, Grade, Spot Check",,,,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,Not Completed,,,,,,,No,,
Total $tJOY exceeds tJOY_BUDGET,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,Not Completed,,,,,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",,,PLAN_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20942729f52ab6475b9ab74e15b63de864.md),,,,No,,
Inadequate Report,"Catastrophic Errors, Grade, Spot Check",,,,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,Not Completed,,,,,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,,SUMMARY_SCORE,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%203bd013081cde4ced81e868e623ecc9c1.md),,,,No,,
HR Report,"Group Specific Scores, Subscore",,,REPORT_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,Not Completed,,,HR Score (Council%2025/Council%20Period%2017/HR%20Score%2014d31e1685cf405db55f7d432fa3721a.md),,,,No,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20dd837f8c7c9c434298754e6e9c003ae9.md),,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Summary",,,SUMMARY_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20b3436e8f2696406284bd27cb93fd173b.md),,,,No,,
System,"Grade, Group Specific Scores, Spot Check, Subscore",,,SYSTEM_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,Not Completed,,,Distributor Score (Council%2025/Council%20Period%2017/Distributor%20Score%200ff45011ebb44b2e9afef0710fe990b9.md),,,,No,,
Storage Score,"Composite Grade, Master Score",,,STORAGE_SCORE,Storage,,Not Completed,,,Network Performance Score (Council%2025/Council%20Period%2017/Network%20Performance%20Score%20c50f14132a0b46e79f6485265eceee9a.md),,,,No,,"Uploads (Council%2025/Council%20Period%2017/Uploads%20d1c0060178684864aa47e505e0824194.md), General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20942729f52ab6475b9ab74e15b63de864.md), System (Council%2025/Council%20Period%2017/System%204b45dc4a82844ea9a79e8b70c144cb89.md), Storage Report (Council%2025/Council%20Period%2017/Storage%20Report%204fd3ab337331432eb8491b6e26719ec6.md), Logging (Council%2025/Council%20Period%2017/Logging%2097e38ea1db0d41a3944bd9c765964995.md)"
Moderation Score,"Group Specific Scores, Subscore",,,MODERATION_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Not Completed,,,Content Score (Council%2025/Council%20Period%2017/Content%20Score%20059f031312eb4f2bbd9b21275240e877.md),,,,No,,Total Breaches of Policy (Council%2025/Council%20Period%2017/Total%20Breaches%20of%20Policy%204af8bd1bdd6a4f6782a5d2993a5cf2f1.md)
