Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,Not Completed,,,Content Score (Council%2026/Council%20Period%2017/Content%20Score%20dbe6a1d1551148aa910d67608ad7fd06.md),,,,No,,
System,"Grade, Group Specific Scores, Spot Check, Subscore",,,SYSTEM_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,Not Completed,,,Distributor Score (Council%2026/Council%20Period%2017/Distributor%20Score%20111069f640eb4c3aa6bb018edc74ff88.md),,,,No,,
WG Opportunities,"Document, Forum Post, General WG Score, Grade",,,WORKER_OPPORTUNITIES_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,"General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%203610a8862bb44ad397ae6a7536700653.md), General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2073300c8c81af4c81ada3b41061262a9e.md)",,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,https://dao.joystream.org/#/forum/category/12,SUMMARY_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%202f76f42235734fefa311bd3b53b84484.md),,,,No,,
Council Period Parameters,,,,,JSG,,Not Completed,,,,,,,No,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%20c8d69a68d34e44b6bc9250c26ec8a33f.md),,,,No,,
Content Score,"Composite Grade, Master Score",,,CONTENT_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,Not Completed,,,Network Performance Score (Council%2026/Council%20Period%2017/Network%20Performance%20Score%20d83c1d7d8d394599b5996f7a7486210e.md),,,,No,,"General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%20104a249fb6d140c299d5444ae7935520.md), Content Report (Council%2026/Council%20Period%2017/Content%20Report%2077e12db1ec564befbd638d247e4b59b4.md), Featuring Score (Council%2026/Council%20Period%2017/Featuring%20Score%2063720d3c35b5471cb9381e1ec44a548a.md), Moderation Score (Council%2026/Council%20Period%2017/Moderation%20Score%20967a770f6ef347c9818771e0639c4c93.md), Logging does not occur (Council%2026/Council%20Period%2017/Logging%20does%20not%20occur%2085d68d182eb24a13ad4322ae66a0b1cb.md), Featured Content Unplayable (Council%2026/Council%20Period%2017/Featured%20Content%20Unplayable%20a6b6c7ebbb5644a99505d3664dd85259.md), Failure to apply moderation rules (Council%2026/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%20e5d498aca5a04de6923ca8a6d6deeab0.md), Curation Testing Score (Council%2026/Council%20Period%2017/Curation%20Testing%20Score%206d25fdbfb84e4cbbaa5f4029a913bd42.md)"
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Storage,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2058842ed006ab445db7177c3ebcc1761b.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%202f76f42235734fefa311bd3b53b84484.md),,,,No,,
Distributor Score,"Composite Grade, Master Score",,,DISTRIBUTOR_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,Not Completed,,,Network Performance Score (Council%2026/Council%20Period%2017/Network%20Performance%20Score%20d83c1d7d8d394599b5996f7a7486210e.md),,,,No,,"System (Council%2026/Council%20Period%2017/System%201c34c033660945a5bba7aa3195d688ba.md), General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%20c8d69a68d34e44b6bc9250c26ec8a33f.md), Distributors Report (Council%2026/Council%20Period%2017/Distributors%20Report%205cb4c771e1a2489187efb89f17e97c80.md)"
