Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%2027/Council%20Period%2017/Builder%20Score%20c35bc64d5f6c49849749c4c1f8de3eef.md), Content Score (Council%2027/Council%20Period%2017/Content%20Score%206435903bb94e4ae5825936a2b17a5231.md), Distributor Score (Council%2027/Council%20Period%2017/Distributor%20Score%203e9db6de6c0d4849ba90d7575ca211dd.md), Storage Score (Council%2027/Council%20Period%2017/Storage%20Score%2048540283c92041e28ae120ce49e6e8b0.md), HR Score (Council%2027/Council%20Period%2017/HR%20Score%2082007ec22d6d421a8529bacbd4593572.md), Council Period Summary (Council%2027/Council%20Period%2017/Council%20Period%20Summary%2022b030880e174cd2a56b9711dace580e.md), Council Period Plan (Council%2027/Council%20Period%2017/Council%20Period%20Plan%20477882b7ac904f03b7a40e086065d07c.md), Lead Opportunities (Council%2027/Council%20Period%2017/Lead%20Opportunities%2009191530901c48658bd6fe947f3a8846.md), Meeting score (Council%2027/Council%20Period%2017/Meeting%20score%2095e5aca13d3b4d8e8eb6db81a3019a72.md)",,"Composite Grade, Master Score, Overall Grade",Not Completed
Forum Score,Forum,FORUM_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"Forum Report (Council%2027/Council%20Period%2017/Forum%20Report%20ab49495aa09c4fc7ad8de8a14777fd3b.md), General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%205cfa4154a44e4c16af95223e01a6b9f1.md), Moderation Score (Council%2027/Council%20Period%2017/Moderation%20Score%2078000af38c6e4ac4a867f77a580f5eab.md), General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%2007a954fb8ad6499595244b189bd7f525.md)",,"Composite Grade, Master Score",Not Completed
Builder Score,Builders,BUILDER_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%201370cb6abf8a4373a0c0bc9153b9cdbc.md), Builders Report (Council%2027/Council%20Period%2017/Builders%20Report%20227bef70096e4d0bb6ae34aafbae8675.md), Testing (Council%2027/Council%20Period%2017/Testing%20e959f89bcc8f444c97dc7cb5f459a008.md), Pioneer Development (Council%2027/Council%20Period%2017/Pioneer%20Development%2098075adc99a24ed08362cc8504068e9d.md), General Development (Council%2027/Council%20Period%2017/General%20Development%20d13453fc98d24416a930efb8a1a4d833.md)",Network Performance Score (Council%2027/Council%20Period%2017/Network%20Performance%20Score%20b72747fe246048eabc4acac48af256a3.md),"Composite Grade, Master Score",Not Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"System (Council%2027/Council%20Period%2017/System%205d1c51ce9dd5441780de05ae5b2fe0b4.md), General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%2050a7000aafe04e9fa33bc44304e1a89c.md), Distributors Report (Council%2027/Council%20Period%2017/Distributors%20Report%20c04d35a408ed41f9b276ffcf149ac283.md)",Network Performance Score (Council%2027/Council%20Period%2017/Network%20Performance%20Score%20b72747fe246048eabc4acac48af256a3.md),"Composite Grade, Master Score",Not Completed
Content Score,Content,CONTENT_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%20e6d753f703d946bfba011f48e154ef21.md), Content Report (Council%2027/Council%20Period%2017/Content%20Report%205bf70ef5e74d4b7da9998525d53459bc.md), Featuring Score (Council%2027/Council%20Period%2017/Featuring%20Score%203ae479ecfb9a4de5805bfc6451d94a05.md), Moderation Score (Council%2027/Council%20Period%2017/Moderation%20Score%2075afeb3c549148029d2f68e00c126bee.md), Logging does not occur (Council%2027/Council%20Period%2017/Logging%20does%20not%20occur%203960832f9f7f4f82b81fd23e67908636.md), Featured Content Unplayable (Council%2027/Council%20Period%2017/Featured%20Content%20Unplayable%208438ec7b054e44cfaa31295e3200eb8b.md), Failure to apply moderation rules (Council%2027/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%203bb6cf6fb0a24c5db8d4b6bc3aacc244.md), Curation Testing Score (Council%2027/Council%20Period%2017/Curation%20Testing%20Score%20efd9a81532be44cbb1c509a4da87ba1b.md)",Network Performance Score (Council%2027/Council%20Period%2017/Network%20Performance%20Score%20b72747fe246048eabc4acac48af256a3.md),"Composite Grade, Master Score",Not Completed
HR Score,HR,HR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%20d7b8c64c884d459092146d75eaf6e353.md), HR Report (Council%2027/Council%20Period%2017/HR%20Report%20fedffc4535a04458880aa0a088657787.md), Response Time (Council%2027/Council%20Period%2017/Response%20Time%203a21b4b47f034d8bbb09043c0bf574c1.md), Person Logging Score (Council%2027/Council%20Period%2017/Person%20Logging%20Score%204a382c41217b4262ad4436296c430f81.md), Interaction Logging Score (Council%2027/Council%20Period%2017/Interaction%20Logging%20Score%206499fe9501e146ea82b99f051a82c3b9.md), Bounty Management Score (Council%2027/Council%20Period%2017/Bounty%20Management%20Score%2090798a77e39b4513bd19fae0ec0bb03a.md)",Network Performance Score (Council%2027/Council%20Period%2017/Network%20Performance%20Score%20b72747fe246048eabc4acac48af256a3.md),"Composite Grade, Master Score",Not Completed
Marketing Score,Marketing,MARKETER_SCORE,,,,,Master Score,Not Completed
Storage Score,Storage,STORAGE_SCORE,,,"Uploads (Council%2027/Council%20Period%2017/Uploads%20671ef281e8524c9d96c21c3e0fc7d062.md), General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%20026732e6b6a347c0957f748b6778cecb.md), System (Council%2027/Council%20Period%2017/System%207338c0f4931946b781e24f99be82391a.md), Storage Report (Council%2027/Council%20Period%2017/Storage%20Report%20b1d6477acf1448bb9dc003e3c62ea27b.md), Logging (Council%2027/Council%20Period%2017/Logging%205c37472507764c9eb0305dc2ff2488f6.md)",Network Performance Score (Council%2027/Council%20Period%2017/Network%20Performance%20Score%20b72747fe246048eabc4acac48af256a3.md),"Composite Grade, Master Score",Not Completed
General WG Score,Content,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%201978da399cb049d0bd4e4ac589cab2a1.md), WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%20a83fcb2f7b6b4b78a2a770a42713bc63.md), WG Period Plan (Council%2027/Council%20Period%2017/WG%20Period%20Plan%20e15e4125bf08496eb13c25546cc7c2e3.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%20b3a68a01b99c4dacb175fce9663df8e3.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%2018413f6505384bf5b56bfaab21fc2d7a.md)",Content Score (Council%2027/Council%20Period%2017/Content%20Score%206435903bb94e4ae5825936a2b17a5231.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Distributors,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2027/Council%20Period%2017/WG%20Period%20Plan%204db6c3d99933447db83da99cba389763.md), WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%20bb5c76e5567643c385b4d5b75b59d5cc.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%2019b1ddc1f9b24b67afe3e0bccb8cc145.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%206c408c7c92974c2eb423134f22b4c5c7.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%20e94f1afae9424ed69e9cb8d151133074.md)",Distributor Score (Council%2027/Council%20Period%2017/Distributor%20Score%203e9db6de6c0d4849ba90d7575ca211dd.md),"Composite Grade, General WG Score",Not Completed
General WG Score,HR,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2027/Council%20Period%2017/WG%20Period%20Plan%2056b8677c543f449d9484d13c07be7acd.md), WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%20463da1ca38674ec497cdb359694e5812.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%2008d9d2fd364c4dbe8b23189a76520f81.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%20395e2f53219749a08ad21bf5764a3e23.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%2083454f9beb8f4407a729e00ce62ea8fe.md)",HR Score (Council%2027/Council%20Period%2017/HR%20Score%2082007ec22d6d421a8529bacbd4593572.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%202ea3097e283d450e8dfa5168dba6b1d2.md), WG Period Plan (Council%2027/Council%20Period%2017/WG%20Period%20Plan%20f15d8e4bd0d94c8683f06f03278963fc.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%2023d894ec46f146bfb3f926332add632e.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%204e4027bdcc124c73a191ffd68b8145e5.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%20d9e73fab3ea44d9488ba2b1c17c9b8c0.md)",Storage Score (Council%2027/Council%20Period%2017/Storage%20Score%2048540283c92041e28ae120ce49e6e8b0.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Marketing,GENERAL_WG_SCORE,,,"WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%203d77581b5d0a49159cfca93f32c176bb.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%205386c1a2e0f14016a5a7acebb2b55f34.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%20eba96dd9d6e94e50af525c387202bc46.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%208f903d47778f4c05bacc0993255e6ca7.md), WG Period Plan (Council%2027/Council%20Period%2017/WG%20Period%20Plan%20692870fc9e2a4da3a3897ef4deb5702f.md), WG Summary (Council%2027/Council%20Period%2017/WG%20Summary%207931acfcf53f47c48557df0735b5a88c.md), WG Opportunities (Council%2027/Council%20Period%2017/WG%20Opportunities%20a3c50dc9ea9d416791f83da7f6d7022e.md), Bounty Score (Council%2027/Council%20Period%2017/Bounty%20Score%2074cc3aa34d59457aa4ef215bfdcd0a02.md), Opening Score (Council%2027/Council%20Period%2017/Opening%20Score%206a9067fb9b544b9498bc3a1bf6cd64d9.md)",Forum Score (Council%2027/Council%20Period%2017/Forum%20Score%204dd356aa51b04e5fb6340c94f6b3ea46.md),"Composite Grade, General WG Score",Not Completed
