Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,Not Completed,,,Content Score (Council%2027/Council%20Period%2017/Content%20Score%206435903bb94e4ae5825936a2b17a5231.md),,,,No,,
System,"Grade, Group Specific Scores, Spot Check, Subscore",,,SYSTEM_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,Not Completed,,,Distributor Score (Council%2027/Council%20Period%2017/Distributor%20Score%203e9db6de6c0d4849ba90d7575ca211dd.md),,,,No,,
WG Opportunities,"Document, Forum Post, General WG Score, Grade",,,WORKER_OPPORTUNITIES_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,"General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%205cfa4154a44e4c16af95223e01a6b9f1.md), General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%2007a954fb8ad6499595244b189bd7f525.md)",,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,https://dao.joystream.org/#/forum/category/12,SUMMARY_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%201370cb6abf8a4373a0c0bc9153b9cdbc.md),,,,No,,
Council Period Parameters,,,,,JSG,,Not Completed,,,,,,,No,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%2050a7000aafe04e9fa33bc44304e1a89c.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%201370cb6abf8a4373a0c0bc9153b9cdbc.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Storage,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%20026732e6b6a347c0957f748b6778cecb.md),,,,No,,
Content Score,"Composite Grade, Master Score",,,CONTENT_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,Not Completed,,,Network Performance Score (Council%2027/Council%20Period%2017/Network%20Performance%20Score%20b72747fe246048eabc4acac48af256a3.md),,,,No,,"General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%20e6d753f703d946bfba011f48e154ef21.md), Content Report (Council%2027/Council%20Period%2017/Content%20Report%205bf70ef5e74d4b7da9998525d53459bc.md), Featuring Score (Council%2027/Council%20Period%2017/Featuring%20Score%203ae479ecfb9a4de5805bfc6451d94a05.md), Moderation Score (Council%2027/Council%20Period%2017/Moderation%20Score%2075afeb3c549148029d2f68e00c126bee.md), Logging does not occur (Council%2027/Council%20Period%2017/Logging%20does%20not%20occur%203960832f9f7f4f82b81fd23e67908636.md), Featured Content Unplayable (Council%2027/Council%20Period%2017/Featured%20Content%20Unplayable%208438ec7b054e44cfaa31295e3200eb8b.md), Failure to apply moderation rules (Council%2027/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%203bb6cf6fb0a24c5db8d4b6bc3aacc244.md), Curation Testing Score (Council%2027/Council%20Period%2017/Curation%20Testing%20Score%20efd9a81532be44cbb1c509a4da87ba1b.md)"
Distributor Score,"Composite Grade, Master Score",,,DISTRIBUTOR_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,Not Completed,,,Network Performance Score (Council%2027/Council%20Period%2017/Network%20Performance%20Score%20b72747fe246048eabc4acac48af256a3.md),,,,No,,"System (Council%2027/Council%20Period%2017/System%205d1c51ce9dd5441780de05ae5b2fe0b4.md), General WG Score (Council%2027/Council%20Period%2017/General%20WG%20Score%2050a7000aafe04e9fa33bc44304e1a89c.md), Distributors Report (Council%2027/Council%20Period%2017/Distributors%20Report%20c04d35a408ed41f9b276ffcf149ac283.md)"
