Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],Proposal Required?,Score Status
Thumbnails,Distributors,THUMBNAIL_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#thumbnail_score,,Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md),"Grade, Spot Check, Subscore",Main Score,,,Ready for review
Service score,Distributors,SERVICE_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#service_score,,Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md),"Grade, Spot Check, Subscore",Main Score,,,Ready for review
WG Opportunities,Builders,WORKER_OPPORTUNITIES_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,"Grade, Spot Check, Subscore",,,,Ready for review
Storage Report,Storage,REPORT_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,Storage Score (Council%206/Council%20Period%206/Storage%20Score%2081b017cd1afa4f8b9ceebde3f66d7d6a.md),"Document, Forum Post, Grade",Subscore,651600,,Ready for review
WG Period Plan,HR,PLAN_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%200b306de549b5431e9ce42d7d2adf1e7d.md),Forum Post,,571200,,Ready for review
WG Summary,Distributors,SUMMARY_SCORE,0.1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%207b052f9c6c404526a0fd70a7b0f34877.md),"Document, Forum Post, Grade, Subscore",Subscore,651600,,Ready for review
WG Opportunities,Forum,WORKER_OPPORTUNITIES_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%2075ed452e94134129ab3efe4fe38feb3b.md),"Document, Forum Post, Grade",,,,Ready for review
WG Period Plan,Distributors,PLAN_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%207b052f9c6c404526a0fd70a7b0f34877.md),"Document, Forum Post, Grade",Subscore,571200,,Ready for review
Council Daily Sync,Council,,,,,,"Forum Post, Subscore",Subscore,,,Ready for review
Forum Report,Forum,REPORT_SCORE,0,,,Forum Score (Council%206/Council%20Period%206/Forum%20Score%201e813832d399406cae5bc661d0fed782.md),"Document, Forum Post, Grade, Subscore",,651600,,Ready for review
WG Summary,Builders,SUMMARY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206caa3f7d533344aeb72a5c71c830c1d1.md),"Document, Forum Post, Grade, Subscore",,651600,,Ready for review
Content Report,Content,REPORT_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),Forum Post,Subscore,651600,,Ready for review
WG Summary,Forum,SUMMARY_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%2075ed452e94134129ab3efe4fe38feb3b.md),"Document, Forum Post, Grade, Subscore",,651600,,Ready for review
Builders Report,Builders,REPORT_SCORE,0.95,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),"Document, Forum Post, Grade, Subscore",,651600,,Ready for review
Council Period Plan,Council,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),"Document, Forum Post, Grade, Proposal, Subscore",Main Score,571200,Yes,Ready for review
WG Period Plan,Content,PLAN_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%20941ec7ffee524ac9b25a6b23fc214473.md),Forum Post,,571200,,Ready for review
WG Period Plan,Builders,PLAN_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206caa3f7d533344aeb72a5c71c830c1d1.md),"Document, Forum Post, Grade, Subscore",Subscore,571200,,Ready for review
