Name,Attributes,Builder Weight,Content Weight,Deadline [block],Deadline timestamp,Distributor Weight,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Proposal Required?,Reports Gathered,Score,Score Notes,Score Status,Score Type,Scoring Weights,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Violation of Content Policy,Catastrophic Errors,,,,,,,,,,,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,,,,,,,,,,,,,,,No,0,,Ready for review,,,No,,,,,,
Default Logging,"Document, Grade, Notion",,,,,,,,,,DEFAULT_LOGGING,Distributors,,,,,,,,,,Research (Council%206/Council%20Period%206/Research%20f1148177ee474cc4994ab65abe4b7f5f.md),,,,,,,No,0,No Submission found (at all),Ready for review,Subscore,,No,,,,,,
Person Logging Score,,,,,,,,,,,PERSON_LOGGING_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,,,,,,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,,,,,,No,0.8,,Ready for review,Subscore,,Yes,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,,,,,,,,,No,1,,Ready for review,,,No,,,,,,
HR Score,Composite Grade,4,2,,,3,,,,0,HR_SCORE,HR,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,1,1,0,0,,,,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),1,,2,4,,,No,0.83,,Ready for review,,Council 6 (Council%206%2089067a983ab549d79c8ff0d43bab97f0.md),No,3,,,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%200b306de549b5431e9ce42d7d2adf1e7d.md), HR Report (Council%206/Council%20Period%206/HR%20Report%20b9d30dff11ed46cd9786dddaa54e6060.md), Response Time (Council%206/Council%20Period%206/Response%20Time%2097533313f1df4fbb89676fd625038620.md), Person Logging Score (Council%206/Council%20Period%206/Person%20Logging%20Score%202ff08aa15d1c48a59cc38c4ae9f34fb1.md), Interaction Logging Score (Council%206/Council%20Period%206/Interaction%20Logging%20Score%20d231b6253006408dbe942a81af91c79f.md), Bounty Score (Council%206/Council%20Period%206/Bounty%20Score%20323597a8b9a441a69589cde055d90a7b.md)",,1
Storage Score,Composite Grade,4,2,,,3,,,,0,STORAGE_SCORE,Storage,4,,1,1,0,0,,,,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),1,,2,4,,,No,0.502,,Ready for review,Main Score,Council 6 (Council%206%2089067a983ab549d79c8ff0d43bab97f0.md),No,3,,,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206b48105ef7354c25bedd5816712f009c.md), Storage Report (Council%206/Council%20Period%206/Storage%20Report%206a964d62ac534b29b40fb8b681ab38b9.md), Maintenance (Council%206/Council%20Period%206/Maintenance%20ecb1b6133a894d519bbb2043a859367b.md), Uploads (Council%206/Council%20Period%206/Uploads%20beb9a063f77349ad8177cdb4d5fabccb.md), Research (Council%206/Council%20Period%206/Research%20ed26b8a330bc4fbdb6af88162c2d9328.md)",,1
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,,,,,,,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),,,,,,,No,0,,Ready for review,,,No,,,,,,
Council Handover/Minutes,"Forum Post, Subscore",,,,,,Not found,Yes,,,HANDOVER_SCORE,Council,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,,,,,"Council #6 Handover (https://www.notion.so/Council-6-Handover-7f0bbcdd11ca46039ed73bc8d2ae6ee0?pvs=21) ",,,,,,,,,,No,0.5,No Forum Post found,Ready for review,Main Score,,No,,,,,,
WG Period Plan,"Document, Forum Post, Grade, Subscore",,,571200,,,https://dao.joystream.org/#/forum/thread/47?post=214,Yes,https://dao.joystream.org/#/forum/thread/47,,PLAN_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,,,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206caa3f7d533344aeb72a5c71c830c1d1.md),,,,,,,Yes,0.9,,Ready for review,Subscore,,No,,595496,,,,
Council Period Summary,"Document, Forum Post, Grade, Proposal, Subscore",,,651600,1651984230000,,https://dao.joystream.org/#/forum/thread/103,,https://dao.joystream.org/#/forum/category/4,,SUMMARY_SCORE,Council,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,,,,"Olympia 6 (https://www.notion.so/Olympia-6-f34fc608f59b42b0b29014255bd6a144?pvs=21) ",,,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),,,,,,,Yes,1,,Ready for review,Main Score,,No,,668317,,,,
Performance Logging,"Document, Grade",,,,,,,,,,DEFAULT_LOGGING,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#research_score,,,,,,,,Research (Council%206/Council%20Period%206/Research%20ed26b8a330bc4fbdb6af88162c2d9328.md),,,,,,,No,0,No Submission found (at all),Ready for review,Subscore,,No,,,,,,
Elastic Logging,"Document, Grade",,,,,,,,,,ELASTIC_LOGGING,Distributors,,,,,,,,,,Research (Council%206/Council%20Period%206/Research%20f1148177ee474cc4994ab65abe4b7f5f.md),,,,,,,No,0,No Submission found (at all),Ready for review,Subscore,,No,,,,,,
Response Time,,,,,,,,,,,RESPONSE_TIME_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,,,,,,,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,,,,,,No,0.922,,Ready for review,Subscore,,Yes,,,,,,
Logging Score,,,,,,,,,,,LOGGING_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,,,,,,,Featuring Score (Council%206/Council%20Period%206/Featuring%20Score%20e5fdb9760821428b9d22101f632e5a00.md),,,,,,,No,0,,Ready for review,,,No,,,,,,
Service score,"Grade, Spot Check, Subscore",,,,,,,,,,SERVICE_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#service_score,,,,,,,,Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md),,,,,,,No,1,,Ready for review,Main Score,,No,,,,,,
WG Period Plan,Forum Post,,,571200,,,,,,,PLAN_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,"WORKING GROUP PLAN (https://www.notion.so/WORKING-GROUP-PLAN-37faf973fc7844bd8c5d5feec5a8a653?pvs=21) ",,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%20941ec7ffee524ac9b25a6b23fc214473.md),,,,,,,No,0.5,Late submission,Ready for review,,,No,,,"May 6, 2022 10:41 PM (GMT+1)",,,
WG Period Plan,"Document, Forum Post, Grade, Subscore",,,571200,,,,Yes,,,PLAN_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,,,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206b48105ef7354c25bedd5816712f009c.md),,,,,,No,No,0,No Submission found (at all),Ready for review,Subscore,,No,,,,,,
Council Period Plan,"Document, Forum Post, Grade, Proposal, Subscore",4,2,571200,,3,https://dao.joystream.org/#/forum/thread/83,Yes,https://dao.joystream.org/#/forum/category/4,0,PLAN_SCORE,Council,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,1,1,0,0,"Olympia 6 (https://www.notion.so/Olympia-6-f34fc608f59b42b0b29014255bd6a144?pvs=21) ",,,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),1,,2,4,https://dao.joystream.org/#/proposals/preview/152,Yes,Yes,1,,Ready for review,Main Score,Council 6 (Council%206%2089067a983ab549d79c8ff0d43bab97f0.md),No,3,569693,,,,1
Maintenance,Grade,,,,,,,,,,MAINTENANCE_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#maintenance_score,,,,,,,,Storage Score (Council%206/Council%20Period%206/Storage%20Score%2081b017cd1afa4f8b9ceebde3f66d7d6a.md),,,,,,,No,0.75,,Ready for review,Subscore,,No,,,,,,
Forum Score,Composite Grade,4,2,,,3,,,,0,FORUM_SCORE,Forum,4,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,1,1,0,0,,,,,1,,2,4,,,No,,,Ready for review,,Council 6 (Council%206%2089067a983ab549d79c8ff0d43bab97f0.md),No,3,,,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%2075ed452e94134129ab3efe4fe38feb3b.md), Forum Report (Council%206/Council%20Period%206/Forum%20Report%205dbb45c51158432988f99f691133be3b.md), Moderation Score (Council%206/Council%20Period%206/Moderation%20Score%2054fad0a41b13425392efa84f1f5a3d05.md), Notification Score (Council%206/Council%20Period%206/Notification%20Score%207cdcd49de562418698ac45154ad1a850.md)",,1
Elastic Logging,"Document, Grade",,,,,,,,,,ELASTIC_LOGGING,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#research_score,,,,,,,,Research (Council%206/Council%20Period%206/Research%20ed26b8a330bc4fbdb6af88162c2d9328.md),,,,,,,No,0,No Submission found (at all),Ready for review,Subscore,,No,,,,,,
