Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Proposal Required?,Reports Gathered,Score,Score Notes,Score Status,Score Type,Scoring Weights,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
General WG Score,Composite Grade,4,2,,,,3,,,,,1,GENERAL_WG_SCORE,Distributors,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,1,1,0,0,,,,Distributor Score (Council%207/Council%20Period%207/Distributor%20Score%2076c92f0fbe3e4590bd3e26d8c30de8bd.md),1,,2,4,,,No,0.083,,Calculation,Main Score,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,"WG Period Plan (Council%207/Council%20Period%207/WG%20Period%20Plan%200d920b2168034722ae9a7207322ff5f6.md), WG Summary (Council%207/Council%20Period%207/WG%20Summary%20f759cf8d5d6748d5ad0ef0bc3034df88.md), WG Opportunities (Council%207/Council%20Period%207/WG%20Opportunities%20040c8e0c8a274560a69b76263a1439eb.md)",,1
Marketing Score,Composite Grade,4,2,,,,3,,,,,1,MARKETER_SCORE,Marketing,4,,1,1,0,0,,,,,1,,2,4,,,No,,,Calculation,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Block time too low,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,,Council,4,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,1,1,0,0,,,,,1,,2,4,,,No,,,Not Completed,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Notification Score,"Grade, Spot Check",4,2,,,,3,,,,,1,NOTIFICATION_SCORE,Forum,4,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#notification_score,1,1,0,0,,,,Forum Score (Council%207/Council%20Period%207/Forum%20Score%2078bf7c7d83c745689ed17c18cbd1df3d.md),1,,2,4,,,No,,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Testing,"Grade, Spot Check, Subscore",4,2,,,,3,,,,,1,TESTING_SCORE,Builders,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,1,1,0,0,,,,Builder Score (Council%207/Council%20Period%207/Builder%20Score%207f23de81598942558b91be6c52c1f4af.md),1,,2,4,,,No,0.6,,Calculation,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Distributors Report,"Document, Forum Post, Grade, Subscore",4,2,,,,3,,,,https://dao.joystream.org/#/forum/category/15,1,REPORT_SCORE,Distributors,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,1,1,0,0,"Untitled (https://www.notion.so/9fb4e6f52fc044ddba607806f3b92254?pvs=21) ",,,Distributor Score (Council%207/Council%20Period%207/Distributor%20Score%2076c92f0fbe3e4590bd3e26d8c30de8bd.md),1,,2,4,,,No,0.8,Forum post did not include markdown,Data input - grading req,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,"May 13, 2022 11:51 PM (GMT+1)",,,1
Inadequate Report,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,,HR,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,1,1,0,0,,,,,1,,2,4,,,No,,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
WG Period Plan,"Document, Forum Post, Grade, Subscore",4,2,"May 9, 2022 8:33 PM",675000,1652124834000,3,"May 9, 2022 8:33 PM (GMT+1)",https://dao.joystream.org/#/forum/thread/47?post=257,Yes,https://dao.joystream.org/#/forum/thread/47,1,PLAN_SCORE,Builders,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,1,1,0,0,,,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20a0b5b885479b42d6aff4584a8d840789.md),1,,2,4,,,No,0,Late submission,,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,759838,1652634972000,"May 15, 2022 6:16 PM (GMT+1)",,,1
WG Summary,"Document, Forum Post, Grade, Subscore",4,2,"May 15, 2022 5:51 AM",752400,1652590278000,3,"May 15, 2022 11:00 AM (GMT+1)",https://dao.joystream.org/#/forum/thread/110,Yes,,1,SUMMARY_SCORE,Forum,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,1,1,0,0,,,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%209110e709cb3e4e2893cb4704c40481f6.md),1,,2,4,,,Yes,0.4,"Forum post did not include markdown, Incomplete (Did not fulfill all requirements), On time",Ready for review,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,754046,,"May 15, 2022 9:01 AM (GMT+1)",,,1
Logging Score,,4,2,,,,3,,,,,1,LOGGING_SCORE,Content,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,1,1,0,0,,,,Featuring Score (Council%207/Council%20Period%207/Featuring%20Score%20e4d7bba642a840cda15d21c3b9624108.md),1,,2,4,,,No,,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
WG Period Plan,"Document, Forum Post, Grade",4,2,"May 9, 2022 8:33 PM",675000,1652124834000,3,"May 9, 2022 8:33 AM (GMT+1)",,,,1,PLAN_SCORE,Distributors,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,1,1,0,0,,,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%203a5e8ade60d846f48c9f99feaed17f56.md),1,,2,4,,,Yes,0,No Submission found (at all),Ready for review,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
WG Summary,"Document, Forum Post, Grade, Subscore",,,"May 15, 2022 5:51 AM",752400,1652590278000,,"May 15, 2022 11:00 AM (GMT+1)",https://dao.joystream.org/#/forum/thread/111,,https://dao.joystream.org/#/forum/category/12,,SUMMARY_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,,,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20a0b5b885479b42d6aff4584a8d840789.md),,,,,,,No,1,"Basically Perfect, On time",Ready for review,Subscore,,No,,754470,1652602698000,"May 15, 2022 9:18 AM (GMT+1)",,,
