Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Reports Gathered,Score,Score Notes,Score Status,Score Type,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Builders Report,"Document, Forum Post, Grade, Subscore",,,,,,,,,,,,REPORT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,,,,,,,Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md),,,,,,No,0.9,Basically Perfect,Completed,Subscore,No,,,,,,,
Uploads,Grade,,,,,,,,,,,,UPLOAD_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,,,,,,,,Storage Score (Council%208/Council%20Period%208/Storage%20Score%20252ea415198d48d78beeb34b391b9f6f.md),,,,,,No,0.928,,Completed,Subscore,No,,,,,,,
Logging Score,,,,,,,,,,,,,LOGGING_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,,,,,,,Featuring Score (Council%208/Council%20Period%208/Featuring%20Score%2078d0ac649bdd4ecdb0bbd2cc9750b1a3.md),,,,,,No,,,Completed,,No,,,,,,,
Thumbnails,"Grade, Spot Check, Subscore",,,,,,,,,,,,THUMBNAIL_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#thumbnail_score,,,,,,,,Distributor Score (Council%208/Council%20Period%208/Distributor%20Score%2060a38ed6753f49ed86214e68c96602e9.md),,,,,,No,1,,Completed,Subscore,No,,,,,,,
Interaction Logging Score,,,,,,,,,,,,,INTERACTION_LOGGING_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,,,,,,,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,,,,,No,0.455,,Completed,Subscore,Yes,,,,,,,
General Development,"Grade, Spot Check, Subscore",,,,,,,,,,,,GENERAL_DEVELOPMENT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,,,,,,,Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md),,,,,,No,0.533,,Completed,Subscore,No,,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20d1e632e1ddfe46cdb876ac20871293d0.md),,,,,,No,0.2,,Completed,Subscore,No,,,,,,,
WG Summary,"Document, Forum Post, Grade, Subscore, Summary",,,,,,,,https://dao.joystream.org/#/forum/thread/136,,https://dao.joystream.org/#/forum/category/11,,SUMMARY_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,"CWG summary (https://www.notion.so/CWG-summary-4eb1db7e6c0b4259a7b7aae5b704b418?pvs=21) ",,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%200add7c6b293542c09bc64d4744c1e3d2.md),,,,,,No,0.2,"Forum post did not include markdown, Incomplete (Did not fulfill all requirements)",Completed,,No,,849027,,"May 21, 2022 11:48 PM (GMT+1)",,,
HR Report,,,,,,,,,,,,,REPORT_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,,,,,,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,,,,,No,0.85,,Completed,Subscore,Yes,,,,,,,
WG Period Plan,"Document, Forum Post, Grade",,,,,,,,https://dao.joystream.org/#/forum/thread/131?post=294,,,,PLAN_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20d1e632e1ddfe46cdb876ac20871293d0.md),,,,,,No,0.2,,Completed,Subscore,No,,842424,1653131166000,,,,
