CWG Database," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 5"," 6"," 7"," 8"," 9"
SALARY HISTORY,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,,,,,,WORK HISTORY IN JOYSTREAM,,
DATE,REASON,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,"AMOUNT, JOY",TERM,URL LINK,TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM
19/03/2023,Lead Salary,,,,,,,,,,,"3,939",,,07,1425606,,,,
04.03.2023,"worker salary ",,,,,,,,,,,"4,221",,,06,"1209605
",,,,
17.02.2023,"worker salary ",https://pioneerapp.xyz/#/working-groups/openings/contentWorkingGroup-2,,,,,,,,,,0.661,,,05,993604,,Content curator,28/02/2023,05
03/04/2023,Lead Salary,,,,,,,,,,,4 502,,,08,1641607,,,,
18/04/2023,Workers Salary,,,,,,,,,,,3 939,,,09,1857608,,,,
03/05/2023,Worker Salary,,,,,,,,,,,7 359,,,10,2073609,,,,
18/05/2023,Worker Salary,,,,,,,,,,,7 792,,,11,2289610,,,,
02/06/2023,Worker Salary,,,,,,,,,,,7792,,,12,2505611,,,,
,bonus,,,,,,,,,,,276,,,12,,,,,
17/06/2023,Worker Salary,,,,,,,,,,,6 320,,,13,2721612,,,,
02/07/2023,Worker Salary,,,,,,,,,,,9 899,,,14,2937613,,,,
17/07/2023,Worker Salary,,,,,,,,,,,10 952,,,15,https://polkadot.js.org/apps/?rpc=wss://rpc.joystream.org:9944/ws-rpc#/explorer/query/3153614,,,,
01/08/2023,Worker Salary,,,,,,,,,,,10 952,,,16,3369615,,,,
,,,,,,,,,,,,,,,,,,,,
16/08/2023,Worker Salary,,,,,,,,,,,10 952,,,17,3585616,,,,
