CWG Database,Property," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 5"," 6"," 7"," 8"," 9",Lead's Remark
17.02.2023,,"worker salary ",https://pioneerapp.xyz/#/working-groups/openings/contentWorkingGroup-2,,,,,,,,,,0.661,,,05,993604,,Content curator,28/02/2023,05,
04.03.2023,,"worker salary ",,,,,,,,,,,"4,221",,,06,"1209605
",,,,,
SALARY HISTORY,,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,,,,,,WORK HISTORY IN JOYSTREAM,,,
DATE,,REASON,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,AMOUNT,TERM,URL LINK,TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,
19/03/2023,,"worker salary ",,,,,,,,,,,"4,221",,,07,1425606,,,,,
03/04/2023,,"worker salary ",,,,,,,,,,,4 221,,,08,1641607,,,,,
18/04/2023,,Workers Salary,,,,,,,,,,,3 939,,,09,1857608,,,,,
03/05/2023,,Worker Salary,,,,,,,,,,,7 359,,,10,2073609,,,,,
18/05/2023,,Worker Salary,,,,,,,,,,,10 531,,,11,2289610,,,,,
02/06/2023,,Worker Salary,,,,,,,,,,,10 952,,,12,2505611,,,,,
17/06/2023,,Worker Salary,,,,,,,,,,,10 952,,,13,2721612,,,,,
02/07/2023,,Worker Salary,,,,,,,,,,,10 952,,,14,2937613,,,,,
17/07/2023,,Worker Salary,,,,,,,,,,,10 952,,,15,https://polkadot.js.org/apps/?rpc=wss://rpc.joystream.org:9944/ws-rpc#/explorer/query/3153614,,,,,
01/08/2023,,Worker Salary,,,,,,,,,,,10 952,,,16,3369615,,,,,
16/08/2023,,Worker Salary,,,,,,,,,,,10 952,,,17,3585616,,,,,
31/08/2023,,Worker Salary,,,,,,,,,,,11 448,,,18,3801617,,,,,
16/09/2023,,Worker Salary,,,,,,,,,,,25 974,,,19,4017618,,,,,
30/09/2023,,Worker Salary,,,,,,,,,,,23 030,,,20,4233619,,,,,
15/10/2023,,worker Salary,,,,,,,,,,,29 437,,,"21 ",4449620,,,,,
30/10/2023,,Worker Salary,,,,,,,,,,,38 961,,,22,4665621,,,,,
15/11/2023,,Worker Salary,,,,,,,,,,,40 310,,,23,4881622,,,,,4
29/11/2023,,Worker Salary,,,,,,,,,,,33 154,,,24,5097623,,,,,4
14/12/2023,,Worker Salary,,,,,,,,,,,23 963,,,25,5313624,,,,,4
29/12/2023,,Worker Salary,,,,,,,,,,,26 538,,,26,5529625,,,,,4
13/1/2024,,Worker Salary,,,,,,,,,,,24 495,,,27,5745626,,,,,
