DWG Database," 1"," 10"," 11"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 5"," 6"," 7"," 8"," 9",Lead's Remark
19/03/2023,Workers Salary,https://pioneerapp.xyz/#/working-groups/openings/distributionWorkingGroup-8,no,,,,,,,,"4,258",,,07,1425606,,Distribution Worker,26/03/2023,07,
DATE,REASON,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,AMOUNT,TERM,URL LINK,TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,
SALARY HISTORY,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,,,,,,WORK HISTORY IN JOYSTREAM,,,
03/04/2023,Workers Salary,,,,,,,,,,4 258,,,08,1641607,,,,,
18/04/2023,Workers Salary,,,,,,,,,,8 694,,,09,1857608,,,,,
03/05/2023,Workers Salary,,,,,,,,,,6 376,,,10,2073609,,,,,
03/05/2023,BONUS,,,,,,,,,,1 660,,,10,2078779,,,,,
18/05/2023,Worker Salary,,,,,,,,,,5 830,,,11,2289610,,,,,
02/06/2023,Worker Salary,,,,,,,,,,11 660,,,12,2505611,,,,,
17/06/2023,Worker Salary,,,,,,,,,,11.660,,,13,2721612,,,,,
02/07/2023,Worker Salary,,,,,,,,,,17.000,,,14,2937613,,,,,
17/07/2023,Worker Salary,,,,,,,,,,15 000 (via desc. spending),,,15,3355244,,,,,
02/08/2023,Worker salary,,,,,,,,,,15 000,,,16,3369615,,,,,
17/08/2023,Workers Salary,,,,,,,,,,15000,,,17,3585616,,,,,
1/09/2023,Worker salary,,,,,,,,,,15 000,,,18,4117497,,,,,
16/09/2023,Worker Salary,,,,,,,,,,15 000,,,19,4266046,,,,,
(30.09.23,Worker Salary,,,,,,,,,,15 000,,,20,4439376,,,,,
15.10.23,Worker Salary,,,,,,,,,,8 065,,,21,4441343,,,,,
30/10/2023,Worker Salary,,,,,,,,,,8 928.57,,,22,4708997,,,,,
15/11/2023,Worker Salary,,,,,,,,,,8 620.69,,,23,4881653,,,,,3
,,,,,,,,,,,,,,24,,,,,,3
,Worker Salary,,,,,,,,,,5 170,,,25,5313624,,,,,
