SWG Database," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 5"," 6"," 7"," 8"," 9",Lead's Remark
,,,,,,,,,,,,,,,,,,,,,
DATE,REASON,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,"AMOUNT, JOY",TERM,URL LINK,TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,
SALARY HISTORY,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,,,,,,WORK HISTORY IN JOYSTREAM,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
29/12/2023,worker salary,,,,,,,,,,,6 450,,,24,5097632,,,,,3
15/11/2023,8 620.69,,,,,,,,,,,,,,23,"4,881,653",,,,,3
13/1/2024,worker salary,,,,,,,,,,,4 819,,,27,5745626,,,,,
29/12/2023,worker salary,,,,,,,,,,,3 329,,,26,5529625,,,,,
14/12/2023,worker salary,,,,,,,,,,,5 170,,,25,5313624,,,,,
30/10/2023,8 928.57,,,,,,,,,,,,,,22,4708997,,,,,
16/10/2023,Hired as DWG Operator,https://pioneerapp.xyz/#/working-groups/openings/distribution-16,,,,,,,,,,,,,21,4467986,,Hired as DWG Operator,16/10/2023,21,
,,,,,,,,,,,,,,,,,,,,,
