MWG Database," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 5"," 6"," 7"," 8"," 9",Lead's Remark
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SALARY HISTORY,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,,,,,,WORK HISTORY IN JOYSTREAM,,,
,,,,,,,,,,,,,,,,,,,,,
DATE,REASON,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,AMOUNT,TERM,URL LINK,TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,
10/10/2023,Hired as Head of Content,Led the marketing WG,,,,You can ask for this in DM,,,,,,,,,20,4379315,,Marketing Lead,Testnet,N/A,
,,,,,,,,,,,,,,,,,,,,,
14/12/2023,Worker Salary,,,,,,,,,,,30 167,,,25,5313624,,,,,3
,,,,,,,,,,,,,,,,,,,,,
15/11/2023,Worker Salary,,,,,,,,,,,23 409,,,23,4881622,,,,,5
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
29/12/2023,Worker Salary,,,,,,,,,,,23 355,,,26,5529625,,,,,4
30/11/2023,Worker Salary,,,,,,,,,,,28158,,,24,5097623,,,,,4
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
30/09/2023,worker Salary,,,,,,,,,,,17 200,,,20,4233619,,,,,
15/10/2023,Worker Salary,,,,,,,,,,,21 720,,,21,4449620,,,,,
30/10/2023,Worker Salary,,,,,,,,,,,21 720,,,22,4665621,,,,,
