MWG Database," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 5"," 6"," 7"," 8"," 9",Lead's Remark
,,,,,,,,,,,,,,,,,,,,,
10/10/2023,Marketer,Overseeing the HR WG operations,,,,You can ask for this in DM on discord,,,,,,,,,20,4379483,,HR Lead,Check this in worker history,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
29/12/2023,worker salary,,,,,,,,,,,1000,,,24,https://joystream.subscan.io/block/5298253,,,,,4
14/12/2023,worker salary,,,,,,,,,,,0,,,25,5313624,,,,,4
15/11/2023,worker salary,,,,,,,,,,,3 000,,,23,4881622,,,,,4
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SALARY HISTORY,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,,,,,,WORK HISTORY IN JOYSTREAM,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
29/12/2023,worker salary,,,,,,,,,,,0,,,26,5529625,,,,,3
30/09/2023,worker salary,,,,,,,,,,,4 000,,,20,4233619,,,,,
,,,,,,,,,,,,,,,,,,,,,
DATE,REASON,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,AMOUNT,TERM,URL LINK,TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,
15/10/2023,worker salary,,,,,,,,,,,4 000,,,21,4553848,,,,,
30/10/2023,worker salary,,,,,,,,,,,10 000,,,22,4760166,,,,,
