MWG Database," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 5"," 6"," 7"," 8"," 9",Lead's Remark
DATE,REASON,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,AMOUNT,TERM,URL LINK,TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,
02.02.2023,Marketing Worker,,,,,,,,,,,10 860,,,#4,777603,,,,,
SALARY HISTORY,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,,,,,,WORK HISTORY IN JOYSTREAM,,,
03.01.2023,Marketing Worker,Marketing Worker," Busy only with Joystream",,,,,,,,,"0,773",,,#2,345601,,Marketing Worker,15/01/2023/in 24 term,02,
18.01.2023,Marketing Worker,,,,,,,,,,,8 471,,,#3,561602,,,,,
,,,,,,,,,,,,,,,,,,,,,
17.02.2023,Marketing Worker,,,,,,,,,,,10 860,,,#5,993604,,,,,
19/03/2023,Marketing Worker,,,,,,,,,,,"5,935",,,07,1425606,,,,,
04.03.2023,Marketing Worker,,,,,,,,,,,10 860,,,06,"1209605
",,,,,
03/04/2023,Marketing Worker,,,,,,,,,,,10 860,,,08,1641607,,,,,
18/04/2023,Marketing Worker,,,,,,,,,,,4 344,,,09,1857608,,,,,
03/05/2023,Marketing Worker,,,,,,,,,,,0,,,10,2073609,,,,,
18/05/2023,Marketing Worker,,,,,,,,,,,0,,,11,2289610,,,,,
02/06/2023,Marketing Worker,,,,,,,,,,,3 892,,,12,2505611,,,,,
17/06/2023,Marketing Worker,,,,,,,,,,,5 190,,,13,2721612,,,,,
02/07/2023,Marketing Worker,,,,,,,,,,,0,,,14,2937613,,,,,
17/07/2023,Marketing Worker,,,,,,,,,,,0,,,15,3153614,,,,,
,,,,,,,,,,,,,,,23,,,,,,0
