SWG Database," 1"," 2"," 3"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
SALARY HISTORY,,,,,,WORK HISTORY IN JOYSTREAM,,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,
DATE,REASON,"AMOUNT, JOY",TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,TERM,URL LINK
03.01.2023,SWG Worker Salary,1 029,02,345601,,Storage worker,07/01/2023,02,Storage WG Worker,4 hours per day,https://pioneerapp.xyz/#/members/2098,,Storage worker,,,,,,,
18.01.2023,SWG Worker Salary,2 084,03,561602,,,,,,,,,Council member,,,,,,,
02.02.2023,SWG Worker Salary,2 084,04,777603,,,,,,,,,,,,,,,,
17.02.2023,SWG Worker Salary,2 084,05,993604,,,,,,,,,,,,,,,,
04.03.2023,SWG Worker Salary,2 084,06,"1209605
",,,,,,,,,,,,,,,,
19/03/2023,SWG Worker Salary,2 084,07,1425606,,,,,,,,,,,,,,,,
03/04/2023,SWG Worker Salary,2 084,08,1641607,,,,,,,,,,,,,,,,
18/04/2023,SWG Worker Salary,2 084,09,1857608,,,,,,,,,,,,,,,,
03/05/2023,SWG Worker Salary,2 084,10,2073609,,,,,,,,,,,,,,,,
18/05/2023,SWG Worker Salary,1 111,11,2289610,,,,,,,,,,,,,,,,
was fired in 11th term,the server stopped and there was no welling to bring it back,,,,,,,,,,,,,,,,,,,
