SWG Database," 1"," 2"," 3"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
SALARY HISTORY,,,,,,WORK HISTORY IN JOYSTREAM,,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,
DATE,REASON,"AMOUNT, JOY",TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,TERM,URL LINK
03.01.2023,SWG Worker Salary,"5 100 ",02,345601,,Storage WG Worker,07/01/2023,02,Storage WG Worker," 8 hours per day
",,,,,,,,,,
18.01.2023,SWG Worker Salary,"8 340 ",03,561602,,,,03,,,,,,,,,,,,
02.02.2023,SWG Worker Salary,"8 340 ",04,777603,,,,04,,,,,,,,,,,,
17.02.2023,SWG Worker Salary,"8 340 ",05,993604,,,,05,,,,,,,,,,,,
04.03.2023,SWG Worker Salary,8 345,06,"1209605
",,,,,,,,,,,,,,,,
19/03/2023,SWG Worker Salary,8 345,07,1425606,,,,,,,,,,,,,,,,
03/04/2023,SWG Worker Salary,8 345,08,1641607,,,,,,,,,,,,,,,,
18/04/2023,SWG Worker Salary,8 345,09,1857608,,,,,,,,,,,,,,,,
03/05/2023,SWG Worker Salary,8 345,10,2073609,,,,,,,,,,,,,,,,
18/05/2023,SWG Worker Salary,6 676,11,2289610,,,,,,,,,,,,,,,,
02/06/2023,SWG Worker Salary,0,12,2505611,,,,,,,,,,,,,,,,
17/06/2023,SWG Worker Salary,0,13,2721612,,,,,,,,,,,,,,,,
02/07/2023,has been termonated,,14,2937613,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
